cohort_month,activity_month,period_number,starting_customers,retained_customers,customer_retention_rate_pct,starting_mrr,retained_mrr,revenue_retention_rate_pct
2024-05,2025-05,12,552,298,53.99,96536.3,72410.55,75.01
2024-06,2024-06,0,502,12,2.39,86572.0,2485.8,2.87
2024-06,2024-07,1,502,487,97.01,86572.0,85009.05,98.19
2024-06,2024-08,2,502,427,85.06,86572.0,78328.45,90.48
2024-06,2024-09,3,502,388,77.29,86572.0,74819.2,86.42
2024-06,2024-10,4,502,346,68.92,86572.0,70498.25,81.43
2024-06,2024-11,5,502,312,62.15,86572.0,66076.65,76.33
2024-06,2024-12,6,502,295,58.76,86572.0,64666.0,74.7
2024-06,2025-01,7,502,285,56.77,86572.0,63883.35,73.79
2024-06,2025-02,8,502,274,54.58,86572.0,62944.35,72.71
2024-06,2025-03,9,502,270,53.78,86572.0,62548.35,72.25
2024-06,2025-04,10,502,264,52.59,86572.0,61876.7,71.47
2024-06,2025-05,11,502,259,51.59,86572.0,61354.05,70.87
2024-06,2025-06,12,502,257,51.2,86572.0,61056.05,70.53
2024-07,2024-07,0,515,15,2.91,88028.85,2483.85,2.82
2024-07,2024-08,1,515,504,97.86,88028.85,86662.2,98.45
2024-07,2024-09,2,515,450,87.38,88028.85,81923.55,93.06
2024-07,2024-10,3,515,411,79.81,88028.85,78264.6,88.91
2024-07,2024-11,4,515,380,73.79,88028.85,75860.3,86.18
2024-07,2024-12,5,515,356,69.13,88028.85,73791.65,83.83
2024-07,2025-01,6,515,335,65.05,88028.85,69614.85,79.08
2024-07,2025-02,7,515,319,61.94,88028.85,67903.2,77.14
2024-07,2025-03,8,515,308,59.81,88028.85,66789.05,75.87
2024-07,2025-04,9,515,298,57.86,88028.85,65999.05,74.97
2024-07,2025-05,10,515,293,56.89,88028.85,64611.4,73.4
2024-07,2025-06,11,515,290,56.31,88028.85,64471.75,73.24
2024-07,2025-07,12,515,285,55.34,88028.85,63826.75,72.51
2024-08,2024-08,0,544,22,4.04,112049.2,6499.65,5.8
2024-08,2024-09,1,544,537,98.71,112049.2,111313.55,99.34
2024-08,2024-10,2,544,478,87.87,112049.2,105406.8,94.07
2024-08,2024-11,3,544,428,78.68,112049.2,101531.2,90.61
2024-08,2024-12,4,544,392,72.06,112049.2,98231.9,87.67
2024-08,2025-01,5,544,365,67.1,112049.2,94995.95,84.78
2024-08,2025-02,6,544,348,63.97,112049.2,93470.3,83.42
2024-08,2025-03,7,544,336,61.76,112049.2,92519.35,82.57
2024-08,2025-04,8,544,326,59.93,112049.2,91079.35,81.29
2024-08,2025-05,9,544,314,57.72,112049.2,90091.35,80.4
2024-08,2025-06,10,544,311,57.17,112049.2,89844.35,80.18
2024-08,2025-07,11,544,308,56.62,112049.2,89597.35,79.96
2024-08,2025-08,12,544,305,56.07,112049.2,89250.35,79.65
2024-09,2024-09,0,520,10,1.92,93312.15,1105.75,1.19
2024-09,2024-10,1,520,509,97.88,93312.15,92595.5,99.23
2024-09,2024-11,2,520,466,89.62,93312.15,88945.85,95.32
2024-09,2024-12,3,520,429,82.5,93312.15,85177.25,91.28
2024-09,2025-01,4,520,389,74.81,93312.15,80174.6,85.92
2024-09,2025-02,5,520,361,69.42,93312.15,76609.95,82.1
2024-09,2025-03,6,520,343,65.96,93312.15,74335.3,79.66
2024-09,2025-04,7,520,333,64.04,93312.15,73375.0,78.63
2024-09,2025-05,8,520,322,61.92,93312.15,71130.7,76.23
2024-09,2025-06,9,520,307,59.04,93312.15,69895.7,74.91
2024-09,2025-07,10,520,302,58.08,93312.15,69450.7,74.43
2024-09,2025-08,11,520,296,56.92,93312.15,69156.7,74.11
2024-09,2025-09,12,520,295,56.73,93312.15,69107.7,74.06
2024-10,2024-10,0,568,21,3.7,99982.8,4100.2,4.1
2024-10,2024-11,1,568,558,98.24,99982.8,99292.8,99.31
2024-10,2024-12,2,568,506,89.08,99982.8,94516.85,94.53
2024-10,2025-01,3,568,459,80.81,99982.8,90438.25,90.45
2024-10,2025-02,4,568,423,74.47,99982.8,86953.95,86.97
2024-10,2025-03,5,568,389,68.49,99982.8,83960.3,83.97
2024-10,2025-04,6,568,371,65.32,99982.8,82685.65,82.7
2024-10,2025-05,7,568,358,63.03,99982.8,80778.5,80.79
2024-10,2025-06,8,568,338,59.51,99982.8,77978.2,77.99
2024-10,2025-07,9,568,330,58.1,99982.8,77386.2,77.4
2024-10,2025-08,10,568,319,56.16,99982.8,76647.2,76.66
2024-10,2025-09,11,568,313,55.11,99982.8,76060.55,76.07
2024-10,2025-10,12,568,309,54.4,99982.8,75764.55,75.78
2024-11,2024-11,0,536,11,2.05,92804.1,2232.25,2.41
2024-11,2024-12,1,536,526,98.13,92804.1,92014.1,99.15
2024-11,2025-01,2,536,478,89.18,92804.1,87384.45,94.16
2024-11,2025-02,3,536,437,81.53,92804.1,83465.0,89.94
2024-11,2025-03,4,536,412,76.87,92804.1,81297.35,87.6
2024-11,2025-04,5,536,381,71.08,92804.1,78495.1,84.58
2024-11,2025-05,6,536,357,66.6,92804.1,76648.8,82.59
2024-11,2025-06,7,536,339,63.25,92804.1,75174.15,81.0
2024-11,2025-07,8,536,328,61.19,92804.1,74172.2,79.92
2024-11,2025-08,9,536,315,58.77,92804.1,73057.55,78.72
2024-11,2025-09,10,536,304,56.72,92804.1,72325.9,77.93
2024-11,2025-10,11,536,296,55.22,92804.1,71948.6,77.53
2024-11,2025-11,12,536,293,54.66,92804.1,71708.95,77.27
2024-12,2024-12,0,526,18,3.42,91038.75,3332.6,3.66
2024-12,2025-01,1,526,511,97.15,91038.75,90003.75,98.86
2024-12,2025-02,2,526,454,86.31,91038.75,83632.8,91.87
2024-12,2025-03,3,526,408,77.57,91038.75,79767.9,87.62
2024-12,2025-04,4,526,363,69.01,91038.75,74679.8,82.03
2024-12,2025-05,5,526,346,65.78,91038.75,73476.5,80.71
2024-12,2025-06,6,526,327,62.17,91038.75,71752.85,78.82
2024-12,2025-07,7,526,312,59.32,91038.75,70532.55,77.48
2024-12,2025-08,8,526,301,57.22,91038.75,69393.55,76.22
2024-12,2025-09,9,526,293,55.7,91038.75,68351.55,75.08
2024-12,2025-10,10,526,285,54.18,91038.75,66859.55,73.44
2024-12,2025-11,11,526,279,53.04,91038.75,65137.9,71.55
2024-12,2025-12,12,526,278,52.85,91038.75,65088.9,71.5
2025-01,2025-01,0,562,12,2.14,103191.2,2330.95,2.26
2025-01,2025-02,1,562,554,98.58,103191.2,102224.05,99.06
2025-01,2025-03,2,562,498,88.61,103191.2,95576.95,92.62
2025-01,2025-04,3,562,449,79.89,103191.2,91158.15,88.34
2025-01,2025-05,4,562,412,73.31,103191.2,87482.2,84.78
2025-01,2025-06,5,562,380,67.62,103191.2,82671.55,80.11
2025-01,2025-07,6,562,361,64.23,103191.2,81140.55,78.63
2025-01,2025-08,7,562,345,61.39,103191.2,80008.6,77.53
2025-01,2025-09,8,562,332,59.07,103191.2,78353.8,75.93
2025-01,2025-10,9,562,324,57.65,103191.2,77211.8,74.82
2025-01,2025-11,10,562,318,56.58,103191.2,76440.15,74.08
2025-01,2025-12,11,562,313,55.69,103191.2,76009.85,73.66
2025-02,2025-02,0,528,23,4.36,95609.0,2593.05,2.71
2025-02,2025-03,1,528,519,98.3,95609.0,94868.0,99.22
2025-02,2025-04,2,528,464,87.88,95609.0,88545.05,92.61
2025-02,2025-05,3,528,417,78.98,95609.0,83603.65,87.44
2025-02,2025-06,4,528,368,69.7,95609.0,79054.7,82.69
2025-02,2025-07,5,528,338,64.02,95609.0,76334.7,79.84
2025-02,2025-08,6,528,320,60.61,95609.0,74597.4,78.02
2025-02,2025-09,7,528,310,58.71,95609.0,73472.1,76.85
2025-02,2025-10,8,528,295,55.87,95609.0,71987.1,75.29
2025-02,2025-11,9,528,288,54.55,95609.0,71444.1,74.73
2025-02,2025-12,10,528,283,53.6,95609.0,71106.45,74.37
2025-03,2025-03,0,572,18,3.15,92516.0,1827.9,1.98
2025-03,2025-04,1,572,567,99.13,92516.0,92071.0,99.52
2025-03,2025-05,2,572,519,90.73,92516.0,87008.4,94.05
2025-03,2025-06,3,572,462,80.77,92516.0,80681.85,87.21
2025-03,2025-07,4,572,433,75.7,92516.0,77968.2,84.28
2025-03,2025-08,5,572,396,69.23,92516.0,75014.6,81.08
2025-03,2025-09,6,572,379,66.26,92516.0,72881.6,78.78
2025-03,2025-10,7,572,360,62.94,92516.0,71382.8,77.16
2025-03,2025-11,8,572,340,59.44,92516.0,69260.15,74.86
2025-03,2025-12,9,572,330,57.69,92516.0,68292.5,73.82
2025-04,2025-04,0,523,21,4.02,95297.2,3990.2,4.19
2025-04,2025-05,1,523,518,99.04,95297.2,94674.55,99.35
2025-04,2025-06,2,523,457,87.38,95297.2,88459.65,92.83
2025-04,2025-07,3,523,415,79.35,95297.2,84488.7,88.66
2025-04,2025-08,4,523,390,74.57,95297.2,81413.7,85.43
2025-04,2025-09,5,523,362,69.22,95297.2,79349.05,83.26
2025-04,2025-10,6,523,345,65.97,95297.2,77938.4,81.78
2025-04,2025-11,7,523,330,63.1,95297.2,76810.75,80.6
2025-04,2025-12,8,523,316,60.42,95297.2,75832.1,79.57
2025-05,2025-05,0,567,15,2.65,97419.9,2118.25,2.17
2025-05,2025-06,1,567,553,97.53,97419.9,96533.9,99.09
2025-05,2025-07,2,567,492,86.77,97419.9,90224.6,92.61
2025-05,2025-08,3,567,434,76.54,97419.9,85112.3,87.37
2025-05,2025-09,4,567,405,71.43,97419.9,82243.5,84.42
2025-05,2025-10,5,567,378,66.67,97419.9,80042.85,82.16
2025-05,2025-11,6,567,361,63.67,97419.9,78609.85,80.69
2025-05,2025-12,7,567,351,61.9,97419.9,77719.85,79.78
2025-06,2025-06,0,510,10,1.96,92202.55,2165.45,2.35
2025-06,2025-07,1,510,503,98.63,92202.55,91659.55,99.41
2025-06,2025-08,2,510,451,88.43,92202.55,86513.6,93.83
2025-06,2025-09,3,510,404,79.22,92202.55,81999.4,88.93
2025-06,2025-10,4,510,370,72.55,92202.55,78890.75,85.56
2025-06,2025-11,5,510,345,67.65,92202.55,74845.45,81.18
2025-06,2025-12,6,510,320,62.75,92202.55,71470.45,77.51
2025-07,2025-07,0,581,18,3.1,99228.2,1887.6,1.9
2025-07,2025-08,1,581,566,97.42,99228.2,98093.2,98.86
2025-07,2025-09,2,581,509,87.61,99228.2,92629.9,93.35
2025-07,2025-10,3,581,461,79.35,99228.2,87974.35,88.66
2025-07,2025-11,4,581,424,72.98,99228.2,84818.7,85.48
2025-07,2025-12,5,581,398,68.5,99228.2,82759.4,83.4
2025-08,2025-08,0,592,19,3.21,104755.5,3972.05,3.79
2025-08,2025-09,1,592,589,99.49,104755.5,104508.5,99.76
2025-08,2025-10,2,592,531,89.7,104755.5,99040.6,94.54
2025-08,2025-11,3,592,473,79.9,104755.5,92822.85,88.61
2025-08,2025-12,4,592,438,73.99,104755.5,89522.55,85.46
2025-09,2025-09,0,517,14,2.71,86419.55,1828.95,2.12
2025-09,2025-10,1,517,505,97.68,86419.55,85631.55,99.09
2025-09,2025-11,2,517,454,87.81,86419.55,80094.45,92.68
2025-09,2025-12,3,517,412,79.69,86419.55,76703.2,88.76
2025-10,2025-10,0,551,19,3.45,91029.65,3929.7,4.32
2025-10,2025-11,1,551,543,98.55,91029.65,89717.35,98.56
2025-10,2025-12,2,551,483,87.66,91029.65,80279.25,88.19
2025-11,2025-11,0,517,14,2.71,91600.7,2781.45,3.04
2025-11,2025-12,1,517,508,98.26,91600.7,90959.7,99.3
2025-12,2025-12,0,20,20,100.0,3338.1,3338.1,100.0
