customer_id,health_score,risk_segment,monthly_active_days,feature_adoption_rate_pct,avg_daily_session_mins,api_calls_count,export_reports_count,total_tickets_logged,avg_resolution_time_hrs,escalated_tickets_count,csat_score
CUST-100063,44.2,High Risk (Critical),12,24.1,9.1,113,13,0,0.0,0,3.5
CUST-100064,70.5,Low Risk (Healthy),17,81.1,41.6,117,16,1,19.9,0,5.0
CUST-100065,18.0,High Risk (Critical),14,41.0,20.6,114,7,4,12.8,1,2.0
CUST-100066,7.0,High Risk (Critical),7,26.1,11.0,44,32,2,65.5,0,1.0
CUST-100067,18.8,High Risk (Critical),12,28.4,22.0,14,7,2,29.4,0,1.0
CUST-100068,70.5,Low Risk (Healthy),21,71.5,90.7,85,2,0,0.0,0,3.5
CUST-100069,82.7,Low Risk (Healthy),28,81.1,107.6,92,19,0,0.0,0,3.5
CUST-100070,78.1,Low Risk (Healthy),25,91.0,29.7,126,24,1,20.6,0,4.0
CUST-100071,10.1,High Risk (Critical),6,40.0,20.2,137,27,2,63.1,0,1.0
CUST-100072,16.5,High Risk (Critical),10,43.9,6.6,11,31,2,32.2,1,2.0
CUST-100073,12.1,High Risk (Critical),3,42.4,16.0,120,40,2,68.6,0,2.0
CUST-100074,15.7,High Risk (Critical),3,15.5,6.0,86,28,2,23.7,0,3.0
CUST-100075,22.2,High Risk (Critical),2,25.9,8.9,122,32,1,17.8,0,3.0
CUST-100076,73.4,Low Risk (Healthy),23,78.7,26.4,1663,30,1,7.3,0,4.0
CUST-100077,85.7,Low Risk (Healthy),25,94.2,81.9,98,3,1,15.2,0,5.0
CUST-100078,16.1,High Risk (Critical),5,44.8,13.9,150,28,2,15.8,0,1.0
CUST-100079,17.7,High Risk (Critical),12,33.0,4.5,25,12,2,17.9,1,2.0
CUST-100080,71.4,Low Risk (Healthy),23,65.7,73.7,810,18,0,0.0,0,3.5
CUST-100081,69.3,Medium Risk (Warning),23,75.3,25.5,1836,23,1,7.8,0,3.5
CUST-100082,57.9,Medium Risk (Warning),17,63.5,75.1,2102,29,1,6.7,0,3.5
CUST-100083,16.3,High Risk (Critical),14,39.0,16.4,31,37,4,32.5,0,1.0
CUST-100084,70.8,Low Risk (Healthy),19,81.5,92.4,75,23,0,0.0,0,3.5
CUST-100085,65.9,Medium Risk (Warning),18,69.6,29.0,580,26,0,0.0,0,3.5
CUST-100086,76.6,Low Risk (Healthy),24,69.6,99.7,143,22,1,18.6,0,5.0
CUST-100087,78.3,Low Risk (Healthy),24,84.4,53.3,15,7,0,0.0,0,3.5
CUST-100088,5.0,High Risk (Critical),12,18.5,7.7,114,5,3,31.3,1,1.0
CUST-100089,69.5,Medium Risk (Warning),22,64.0,35.9,2297,0,0,0.0,0,3.5
CUST-100090,8.1,High Risk (Critical),10,25.8,6.4,30,43,2,71.0,1,2.0
CUST-100091,64.7,Medium Risk (Warning),26,52.5,27.5,67,14,2,14.1,0,4.0
CUST-100092,62.6,Medium Risk (Warning),18,62.5,106.0,6784,13,2,16.8,0,5.0
CUST-100093,26.8,High Risk (Critical),2,10.6,16.5,46,12,0,0.0,0,3.5
CUST-100094,67.5,Medium Risk (Warning),22,57.2,67.8,10,34,0,0.0,0,3.5
CUST-100095,11.9,High Risk (Critical),1,16.9,4.5,70,8,2,36.0,0,3.0
CUST-100096,86.5,Low Risk (Healthy),28,93.8,33.5,1273,37,0,0.0,0,3.5
CUST-100097,78.9,Low Risk (Healthy),29,64.1,45.9,135,28,0,0.0,0,3.5
CUST-100098,79.9,Low Risk (Healthy),26,80.7,47.5,123,27,0,0.0,0,3.5
CUST-100099,34.5,High Risk (Critical),3,31.6,5.0,129,28,0,0.0,0,3.5
CUST-100100,8.2,High Risk (Critical),7,39.7,8.8,86,22,2,63.1,1,2.0
CUST-100101,25.2,High Risk (Critical),11,27.9,21.1,116,37,1,14.8,1,3.0
CUST-100102,6.9,High Risk (Critical),4,10.2,6.2,146,14,2,44.1,0,2.0
CUST-100103,72.5,Low Risk (Healthy),27,93.0,91.6,4305,33,3,2.9,0,3.5
CUST-100104,15.2,High Risk (Critical),4,37.4,13.3,126,32,4,27.1,0,3.0
CUST-100105,91.4,Low Risk (Healthy),29,93.2,80.4,43,23,1,9.6,0,5.0
CUST-100106,68.7,Medium Risk (Warning),19,74.6,72.5,1595,41,0,0.0,0,3.5
CUST-100107,14.8,High Risk (Critical),13,34.9,10.2,98,20,3,55.8,0,1.0
CUST-100108,5.0,High Risk (Critical),8,41.5,16.2,108,13,4,36.1,1,1.0
CUST-100109,83.3,Low Risk (Healthy),29,83.9,83.1,98,26,2,20.6,0,5.0
CUST-100110,50.9,Medium Risk (Warning),14,37.3,7.9,42,17,0,0.0,0,3.5
CUST-100111,76.9,Low Risk (Healthy),20,89.6,66.0,1452,34,1,21.5,0,5.0
CUST-100112,5.0,High Risk (Critical),9,17.1,6.9,42,12,6,20.6,1,1.0
CUST-100113,67.4,Medium Risk (Warning),19,70.1,109.4,3610,8,0,0.0,0,3.5
CUST-100114,14.8,High Risk (Critical),13,27.1,9.7,114,4,2,37.6,1,2.0
CUST-100115,28.4,High Risk (Critical),8,25.5,19.0,118,32,1,31.0,0,3.0
CUST-100116,76.7,Low Risk (Healthy),23,83.6,30.6,68,2,0,0.0,0,3.5
CUST-100117,29.4,High Risk (Critical),12,38.7,16.0,54,23,2,65.9,0,3.0
CUST-100118,81.3,Low Risk (Healthy),27,72.9,51.8,92,40,1,20.6,0,5.0
CUST-100119,22.5,High Risk (Critical),8,23.6,12.4,54,37,1,25.7,0,2.0
CUST-100120,91.0,Low Risk (Healthy),28,94.8,42.0,77,3,1,6.1,0,5.0
CUST-100121,72.2,Low Risk (Healthy),19,75.3,106.8,59,22,1,13.5,0,5.0
CUST-100122,5.0,High Risk (Critical),6,26.7,16.0,3,20,4,21.8,0,1.0
CUST-100123,5.0,High Risk (Critical),1,11.2,14.3,90,25,2,57.2,1,1.0
CUST-100124,13.7,High Risk (Critical),7,38.0,19.1,112,3,5,67.0,0,3.0
CUST-100125,74.3,Low Risk (Healthy),24,90.8,107.9,135,8,3,23.4,0,5.0
CUST-100126,60.1,Medium Risk (Warning),19,81.0,64.0,3904,39,2,20.5,0,3.5
CUST-100127,19.0,High Risk (Critical),8,39.5,13.8,109,8,2,59.8,0,2.0
CUST-100128,31.3,High Risk (Critical),5,12.0,15.7,45,6,0,0.0,0,3.5
CUST-100129,48.4,Medium Risk (Warning),15,61.6,66.4,9,3,3,16.4,0,4.0
CUST-100130,78.0,Low Risk (Healthy),29,74.4,60.4,1208,3,1,23.6,0,4.0
CUST-100131,59.7,Medium Risk (Warning),19,57.8,65.0,2925,30,1,23.7,0,4.0
CUST-100132,60.9,Medium Risk (Warning),21,80.8,88.5,99,8,5,10.5,0,5.0
CUST-100133,63.9,Medium Risk (Warning),18,63.0,98.8,7212,27,0,0.0,0,3.5
CUST-100134,19.9,High Risk (Critical),10,27.5,22.0,49,23,1,45.1,1,3.0
CUST-100135,21.5,High Risk (Critical),9,16.5,11.7,36,19,2,43.5,0,3.0
CUST-100136,73.4,Low Risk (Healthy),24,73.4,70.4,132,10,1,4.6,0,4.0
CUST-100137,16.6,High Risk (Critical),14,26.0,9.5,85,44,3,31.1,0,1.0
CUST-100138,5.0,High Risk (Critical),3,20.3,6.0,30,17,2,60.7,1,1.0
CUST-100139,5.0,High Risk (Critical),2,26.5,13.9,77,21,2,56.4,0,1.0
CUST-100140,73.0,Low Risk (Healthy),28,66.6,64.6,2261,28,1,10.7,0,3.5
CUST-100141,9.1,High Risk (Critical),8,35.3,6.2,15,37,4,65.3,0,2.0
CUST-100142,74.7,Low Risk (Healthy),26,86.3,56.8,3124,15,2,15.2,0,4.0
CUST-100143,5.0,High Risk (Critical),5,11.2,7.7,97,38,2,62.0,0,1.0
CUST-100144,17.0,High Risk (Critical),6,35.2,14.3,6,20,1,44.7,1,3.0
CUST-100145,73.3,Low Risk (Healthy),20,85.3,53.3,84,26,0,0.0,0,3.5
CUST-100146,78.5,Low Risk (Healthy),22,94.0,100.7,10,3,0,0.0,0,3.5
CUST-100147,10.5,High Risk (Critical),8,38.2,21.5,67,0,2,45.4,1,2.0
CUST-100148,6.9,High Risk (Critical),11,17.4,18.1,150,33,3,71.2,1,2.0
CUST-100149,50.9,Medium Risk (Warning),14,37.6,12.3,64,6,0,0.0,0,3.5
CUST-100150,61.2,Medium Risk (Warning),21,74.8,36.7,2899,34,3,9.8,0,4.0
CUST-100151,71.9,Low Risk (Healthy),25,58.7,83.4,5838,35,0,0.0,0,3.5
CUST-100152,68.3,Medium Risk (Warning),21,64.2,72.1,1,2,0,0.0,0,3.5
CUST-100153,76.8,Low Risk (Healthy),29,57.2,26.8,1688,41,0,0.0,0,3.5
CUST-100154,68.4,Medium Risk (Warning),23,60.8,91.3,45,38,1,3.8,0,4.0
CUST-100155,5.0,High Risk (Critical),11,10.2,11.8,134,5,5,16.5,1,1.0
CUST-100156,18.0,High Risk (Critical),11,32.6,10.2,108,3,3,19.6,1,3.0
CUST-100157,5.0,High Risk (Critical),11,13.7,7.3,50,43,6,68.1,1,1.0
CUST-100158,9.7,High Risk (Critical),14,13.3,5.4,20,4,2,66.5,1,2.0
CUST-100159,44.4,High Risk (Critical),9,38.1,15.3,82,1,0,0.0,0,3.5
CUST-100160,16.9,High Risk (Critical),3,38.9,17.1,119,2,2,22.0,0,2.0
CUST-100161,7.0,High Risk (Critical),4,29.5,11.9,28,19,2,41.6,0,1.0
CUST-100162,21.6,High Risk (Critical),9,37.8,6.2,16,10,2,46.0,0,2.0
CUST-100163,5.0,High Risk (Critical),7,36.1,9.4,121,21,3,23.0,1,1.0
CUST-100164,12.3,High Risk (Critical),10,39.8,20.1,94,33,2,67.1,1,2.0
CUST-100165,71.7,Low Risk (Healthy),23,66.7,63.3,4177,28,0,0.0,0,3.5
CUST-100166,76.9,Low Risk (Healthy),29,69.5,36.2,506,18,1,20.7,0,4.0
CUST-100167,10.7,High Risk (Critical),1,26.5,20.6,5,0,2,20.6,0,2.0
CUST-100168,13.6,High Risk (Critical),9,23.4,6.1,112,19,2,43.2,1,3.0
CUST-100169,70.3,Low Risk (Healthy),18,84.3,47.3,102,25,0,0.0,0,3.5
CUST-100170,80.2,Low Risk (Healthy),24,90.2,33.1,77,5,2,7.0,0,5.0
CUST-100171,78.0,Low Risk (Healthy),24,83.3,97.3,116,5,0,0.0,0,3.5
CUST-100172,47.4,Medium Risk (Warning),10,43.7,15.6,5,3,0,0.0,0,3.5
CUST-100173,14.4,High Risk (Critical),4,38.8,21.8,134,41,3,68.6,0,3.0
CUST-100174,5.0,High Risk (Critical),10,12.0,18.0,47,40,1,31.2,1,1.0
CUST-100175,66.9,Medium Risk (Warning),19,68.4,57.7,0,26,0,0.0,0,3.5
CUST-100176,10.8,High Risk (Critical),13,41.4,18.7,148,1,5,39.6,0,1.0
CUST-100177,77.1,Low Risk (Healthy),21,93.6,91.0,34,12,0,0.0,0,3.5
CUST-100178,79.8,Low Risk (Healthy),22,84.3,27.7,664,43,1,6.9,0,5.0
CUST-100179,79.9,Low Risk (Healthy),23,94.2,49.0,81,2,0,0.0,0,3.5
CUST-100180,23.9,High Risk (Critical),13,25.7,20.5,25,20,2,41.3,0,2.0
CUST-100181,7.4,High Risk (Critical),9,17.8,13.2,81,9,1,15.3,1,1.0
CUST-100182,7.6,High Risk (Critical),8,33.1,16.2,114,9,2,60.6,1,2.0
CUST-100183,81.4,Low Risk (Healthy),28,76.8,45.8,3068,45,0,0.0,0,3.5
CUST-100184,23.6,High Risk (Critical),10,34.4,19.3,50,5,1,32.8,1,3.0
CUST-100185,18.4,High Risk (Critical),10,12.1,16.4,119,24,3,36.6,0,3.0
CUST-100186,66.4,Medium Risk (Warning),22,53.5,105.9,7095,22,0,0.0,0,3.5
CUST-100187,66.0,Medium Risk (Warning),24,55.3,82.0,14,35,1,20.4,0,4.0
CUST-100188,5.0,High Risk (Critical),5,17.2,5.1,96,43,4,69.6,1,2.0
CUST-100189,76.0,Low Risk (Healthy),28,58.8,87.9,6680,12,0,0.0,0,3.5
CUST-100190,13.6,High Risk (Critical),12,17.1,17.2,117,41,2,12.2,1,2.0
CUST-100191,16.7,High Risk (Critical),8,24.3,21.2,136,27,2,41.7,0,2.0
CUST-100192,36.3,High Risk (Critical),2,42.0,17.6,99,21,0,0.0,0,3.5
CUST-100193,66.7,Medium Risk (Warning),16,81.1,59.2,111,22,0,0.0,0,3.5
CUST-100194,56.4,Medium Risk (Warning),19,51.5,40.6,108,19,2,3.4,0,4.0
CUST-100195,69.8,Medium Risk (Warning),17,87.1,84.7,114,27,0,0.0,0,3.5
CUST-100196,6.1,High Risk (Critical),6,22.3,18.9,149,24,2,52.7,0,1.0
CUST-100197,78.9,Low Risk (Healthy),29,52.2,91.9,1102,31,1,11.5,0,5.0
CUST-100198,27.7,High Risk (Critical),4,43.1,4.5,36,31,1,36.4,0,3.0
CUST-100199,14.2,High Risk (Critical),5,27.2,7.0,93,17,1,69.0,0,2.0
CUST-100200,41.9,High Risk (Critical),8,34.0,4.8,139,5,0,0.0,0,3.5
CUST-100201,53.8,Medium Risk (Warning),16,67.3,74.8,3291,31,2,6.1,0,3.5
CUST-100202,65.3,Medium Risk (Warning),24,80.7,105.9,2223,24,3,23.5,0,4.0
CUST-100203,5.0,High Risk (Critical),9,16.3,6.5,145,36,3,40.9,1,1.0
CUST-100204,50.3,Medium Risk (Warning),12,44.3,14.9,149,41,0,0.0,0,3.5
CUST-100205,51.7,Medium Risk (Warning),17,62.4,95.2,5807,28,2,21.1,0,3.5
CUST-100206,75.0,Low Risk (Healthy),27,69.0,43.3,2598,15,1,13.2,0,4.0
CUST-100207,67.6,Medium Risk (Warning),22,57.6,72.8,100,4,0,0.0,0,3.5
CUST-100208,6.3,High Risk (Critical),6,19.9,9.1,79,3,2,13.2,1,2.0
CUST-100209,60.0,Medium Risk (Warning),15,63.2,81.5,3749,5,0,0.0,0,3.5
CUST-100210,6.9,High Risk (Critical),8,10.8,19.1,31,9,3,47.8,1,3.0
CUST-100211,5.0,High Risk (Critical),2,33.0,21.2,64,13,2,59.0,1,1.0
CUST-100212,5.0,High Risk (Critical),7,11.5,17.1,40,27,2,20.3,1,1.0
CUST-100213,76.7,Low Risk (Healthy),28,61.1,45.8,1694,11,0,0.0,0,3.5
CUST-100214,5.0,High Risk (Critical),6,23.1,13.0,129,44,3,52.9,0,1.0
CUST-100215,8.2,High Risk (Critical),2,35.1,14.3,111,14,1,55.9,0,1.0
CUST-100216,10.3,High Risk (Critical),3,14.8,16.5,45,39,1,49.2,0,2.0
CUST-100217,73.9,Low Risk (Healthy),20,87.4,48.4,2371,18,0,0.0,0,3.5
CUST-100218,30.2,High Risk (Critical),13,44.9,20.3,52,16,1,20.8,0,1.0
CUST-100219,69.3,Medium Risk (Warning),20,94.5,63.0,50,4,2,13.9,0,4.0
CUST-100220,58.8,Medium Risk (Warning),20,59.7,37.3,2051,28,1,22.6,0,3.5
CUST-100221,21.5,High Risk (Critical),14,26.8,10.5,95,21,2,25.8,0,1.0
CUST-100222,39.2,High Risk (Critical),9,20.7,17.7,66,5,0,0.0,0,3.5
CUST-100223,65.8,Medium Risk (Warning),18,87.0,36.8,2907,11,2,2.7,0,4.0
CUST-100224,10.9,High Risk (Critical),1,43.7,11.1,139,34,5,12.0,0,3.0
CUST-100225,78.9,Low Risk (Healthy),26,77.5,97.7,25,36,0,0.0,0,3.5
CUST-100226,70.4,Low Risk (Healthy),20,75.8,106.7,78,37,0,0.0,0,3.5
CUST-100227,19.2,High Risk (Critical),4,21.2,18.7,48,43,2,19.7,0,3.0
CUST-100228,76.6,Low Risk (Healthy),28,60.9,104.8,82,12,0,0.0,0,3.5
CUST-100229,34.8,High Risk (Critical),12,43.3,20.4,18,21,1,17.9,0,2.0
CUST-100230,27.0,High Risk (Critical),14,34.6,16.0,120,35,1,32.0,0,1.0
CUST-100231,36.1,High Risk (Critical),9,10.5,9.1,3,33,0,0.0,0,3.5
CUST-100232,75.8,Low Risk (Healthy),19,88.6,81.1,62,7,1,17.3,0,5.0
CUST-100233,29.0,High Risk (Critical),9,28.5,15.9,60,26,2,12.5,0,3.0
CUST-100234,58.4,Medium Risk (Warning),15,79.9,77.8,52,45,1,20.5,0,3.5
CUST-100235,75.6,Low Risk (Healthy),28,78.8,28.3,125,32,2,11.1,0,4.0
CUST-100236,70.9,Low Risk (Healthy),19,92.2,79.4,103,27,1,16.8,0,4.0
CUST-100237,47.4,Medium Risk (Warning),10,43.4,10.0,71,8,0,0.0,0,3.5
CUST-100238,12.8,High Risk (Critical),6,36.0,8.3,96,9,1,63.8,0,1.0
CUST-100239,78.2,Low Risk (Healthy),27,70.6,107.1,79,16,0,0.0,0,3.5
CUST-100240,9.7,High Risk (Critical),13,37.8,16.0,121,45,2,71.5,1,1.0
CUST-100241,8.8,High Risk (Critical),8,17.0,6.9,54,32,3,43.8,1,3.0
CUST-100242,15.8,High Risk (Critical),14,25.5,13.4,36,42,1,67.9,1,2.0
CUST-100243,42.7,High Risk (Critical),13,14.6,11.5,49,0,0,0.0,0,3.5
CUST-100244,76.6,Low Risk (Healthy),27,65.2,62.2,103,6,0,0.0,0,3.5
CUST-100245,20.9,High Risk (Critical),2,27.0,8.3,144,12,1,30.7,0,3.0
CUST-100246,20.0,High Risk (Critical),10,24.4,11.0,74,35,1,69.1,0,2.0
CUST-100247,70.8,Low Risk (Healthy),22,87.2,61.1,96,41,2,5.2,0,4.0
CUST-100248,9.8,High Risk (Critical),7,24.9,18.1,121,29,3,50.3,1,3.0
CUST-100249,74.7,Low Risk (Healthy),19,94.7,71.3,80,29,0,0.0,0,3.5
CUST-100250,36.1,High Risk (Critical),13,25.8,14.1,133,4,1,23.5,0,3.0
CUST-100251,70.5,Low Risk (Healthy),17,89.5,28.9,58,20,0,0.0,0,3.5
CUST-100252,11.1,High Risk (Critical),11,12.2,10.1,12,9,2,41.7,0,1.0
CUST-100253,5.0,High Risk (Critical),4,11.7,18.2,15,36,4,17.3,1,1.0
CUST-100254,45.8,Medium Risk (Warning),13,25.0,6.9,136,23,0,0.0,0,3.5
CUST-100255,5.0,High Risk (Critical),1,25.1,12.1,107,20,3,48.7,0,1.0
CUST-100256,5.0,High Risk (Critical),7,21.2,19.6,115,28,3,59.1,1,2.0
CUST-100257,5.0,High Risk (Critical),1,29.9,10.1,52,32,1,50.2,1,2.0
CUST-100258,77.4,Low Risk (Healthy),28,63.4,79.9,54,27,0,0.0,0,3.5
CUST-100259,27.5,High Risk (Critical),1,17.2,21.6,8,28,0,0.0,0,3.5
CUST-100260,5.0,High Risk (Critical),7,24.7,13.7,98,41,1,48.5,1,1.0
CUST-100261,80.3,Low Risk (Healthy),24,84.1,87.9,1582,41,1,23.6,0,5.0
CUST-100262,69.6,Medium Risk (Warning),17,85.6,62.3,3239,28,2,5.8,0,5.0
CUST-100263,19.0,High Risk (Critical),5,35.2,21.9,68,0,1,50.0,0,2.0
CUST-100264,36.2,High Risk (Critical),2,41.9,14.2,50,15,0,0.0,0,3.5
CUST-100265,33.9,High Risk (Critical),13,37.9,13.6,24,25,1,22.7,0,2.0
CUST-100266,9.2,High Risk (Critical),2,37.7,19.8,124,44,2,70.6,0,2.0
CUST-100267,49.3,Medium Risk (Warning),12,41.0,21.6,25,8,0,0.0,0,3.5
CUST-100268,59.8,Medium Risk (Warning),21,51.4,84.2,112,4,1,5.3,0,3.5
CUST-100269,70.0,Low Risk (Healthy),22,65.7,58.4,4,43,0,0.0,0,3.5
CUST-100270,10.0,High Risk (Critical),2,33.8,17.4,103,21,4,38.7,0,3.0
CUST-100271,5.0,High Risk (Critical),7,14.7,11.4,97,6,1,62.8,1,1.0
CUST-100272,14.6,High Risk (Critical),9,42.2,15.9,18,38,2,32.6,1,2.0
CUST-100273,73.1,Low Risk (Healthy),25,62.4,87.4,6992,2,0,0.0,0,3.5
CUST-100274,8.9,High Risk (Critical),11,14.7,18.2,10,22,1,17.6,1,1.0
CUST-100275,72.5,Low Risk (Healthy),21,78.5,86.3,53,5,0,0.0,0,3.5
CUST-100276,63.6,Medium Risk (Warning),19,76.3,61.0,32,6,1,13.2,0,3.5
CUST-100277,29.7,High Risk (Critical),3,15.8,15.1,20,5,0,0.0,0,3.5
CUST-100278,78.9,Low Risk (Healthy),22,86.8,74.5,5811,42,1,20.1,0,5.0
CUST-100279,77.0,Low Risk (Healthy),29,57.8,57.2,149,21,0,0.0,0,3.5
CUST-100280,81.6,Low Risk (Healthy),27,81.9,101.9,1936,8,0,0.0,0,3.5
CUST-100281,5.0,High Risk (Critical),10,17.3,12.2,106,17,2,12.2,1,1.0
CUST-100282,9.1,High Risk (Critical),1,30.5,4.9,139,12,3,58.7,0,3.0
CUST-100283,62.1,Medium Risk (Warning),19,52.5,34.8,417,5,0,0.0,0,3.5
CUST-100284,18.4,High Risk (Critical),1,42.8,12.4,125,9,2,46.5,0,3.0
CUST-100285,85.9,Low Risk (Healthy),24,94.5,61.6,3511,14,1,3.2,0,5.0
CUST-100286,71.3,Low Risk (Healthy),15,85.9,62.0,113,20,1,3.5,0,5.0
CUST-100287,72.7,Low Risk (Healthy),29,64.9,99.6,132,7,2,11.4,0,4.0
CUST-100288,79.2,Low Risk (Healthy),25,89.1,68.1,70,38,1,7.3,0,4.0
CUST-100289,16.1,High Risk (Critical),7,37.9,13.9,23,1,2,36.7,1,3.0
CUST-100290,66.2,Medium Risk (Warning),22,60.4,71.9,3810,21,1,9.9,0,4.0
CUST-100291,19.4,High Risk (Critical),5,12.4,8.1,58,41,1,39.8,0,3.0
CUST-100292,40.8,High Risk (Critical),6,39.3,18.4,88,39,0,0.0,0,3.5
