customer_id,signup_date,acquisition_channel,country,customer_segment
CUST-100464,2024-03-18,Paid Ads,Canada,Enterprise
CUST-100465,2024-11-30,Organic Search,United States,Enterprise
CUST-100466,2024-12-30,Referral,United States,SMB
CUST-100467,2025-01-24,Organic Search,Germany,Mid-Market
CUST-100468,2024-03-25,Paid Ads,United States,Mid-Market
CUST-100469,2025-02-02,Paid Ads,United States,SMB
CUST-100470,2025-01-03,Email Campaign,United States,SMB
CUST-100471,2025-07-24,Referral,United States,SMB
CUST-100472,2024-04-05,referral,Canada,Mid-Market
CUST-100473,2025-02-27,Paid Ads,United States,Enterprise
CUST-100474,2024-09-05,Referral,United States,SMB
CUST-100475,2024-11-04,Paid Ads,United States,SMB
CUST-100476,2024-11-02,Paid Ads,United States,SMB
CUST-100477,2025-10-02,Paid Ads,Germany,SMB
CUST-100478,2024-01-07,Social Media,United States,SMB
CUST-100479,2024-12-03,Paid Ads,United Kingdom,Mid-Market
CUST-100480,2025-08-31,Organic Search,United States,Enterprise
CUST-100481,2024-11-17,Organic Search,United States,SMB
CUST-100482,2025-10-10,Paid Ads,United Kingdom,SMB
CUST-100483,2025-02-06,Paid Ads,France,SMB
CUST-100484,2024-07-03,Email Campaign,United Kingdom,Enterprise
