customer_id,monthly_active_days,feature_adoption_rate_pct,avg_daily_session_mins,api_calls_count,export_reports_count
CUST-100130,29,74.4,60.4,1208,3
CUST-100131,19,57.8,65.0,2925,30
CUST-100132,21,80.8,88.5,99,8
CUST-100133,18,63.0,98.8,7212,27
CUST-100134,10,27.5,22.0,49,23
CUST-100135,9,16.5,11.7,36,19
CUST-100136,24,73.4,70.4,132,10
CUST-100137,14,26.0,9.5,85,44
CUST-100138,3,20.3,6.0,30,17
CUST-100139,2,26.5,13.9,77,21
CUST-100140,28,66.6,64.6,2261,28
CUST-100141,8,35.3,6.2,15,37
CUST-100142,26,86.3,56.8,3124,15
CUST-100143,5,11.2,7.7,97,38
CUST-100144,6,35.2,14.3,6,20
CUST-100145,20,85.3,53.3,84,26
CUST-100146,22,94.0,100.7,10,3
CUST-100147,8,38.2,21.5,67,0
CUST-100148,11,17.4,18.1,150,33
CUST-100149,14,37.6,12.3,64,6
CUST-100150,21,74.8,36.7,2899,34
CUST-100151,25,58.7,83.4,5838,35
CUST-100152,21,64.2,72.1,1,2
CUST-100153,29,57.2,26.8,1688,41
CUST-100154,23,60.8,91.3,45,38
CUST-100155,11,10.2,11.8,134,5
CUST-100156,11,32.6,10.2,108,3
CUST-100157,11,13.7,7.3,50,43
CUST-100158,14,13.3,5.4,20,4
CUST-100159,9,38.1,15.3,82,1
CUST-100160,3,38.9,17.1,119,2
CUST-100161,4,29.5,11.9,28,19
CUST-100162,9,37.8,6.2,16,10
CUST-100163,7,36.1,9.4,121,21
CUST-100164,10,39.8,20.1,94,33
CUST-100165,23,66.7,63.3,4177,28
CUST-100166,29,69.5,36.2,506,18
CUST-100167,1,26.5,20.6,5,0
CUST-100168,9,23.4,6.1,112,19
CUST-100169,18,84.3,47.3,102,25
CUST-100170,24,90.2,33.1,77,5
CUST-100171,24,83.3,97.3,116,5
CUST-100172,10,43.7,15.6,5,3
CUST-100173,4,38.8,21.8,134,41
CUST-100174,10,12.0,18.0,47,40
CUST-100175,19,68.4,57.7,0,26
CUST-100176,13,41.4,18.7,148,1
CUST-100177,21,93.6,91.0,34,12
CUST-100178,22,84.3,27.7,664,43
CUST-100179,23,94.2,49.0,81,2
CUST-100180,13,25.7,20.5,25,20
CUST-100181,9,17.8,13.2,81,9
CUST-100182,8,33.1,16.2,114,9
CUST-100183,28,76.8,45.8,3068,45
CUST-100184,10,34.4,19.3,50,5
CUST-100185,10,12.1,16.4,119,24
CUST-100186,22,53.5,105.9,7095,22
CUST-100187,24,55.3,82.0,14,35
CUST-100188,5,17.2,5.1,96,43
CUST-100189,28,58.8,87.9,6680,12
CUST-100190,12,17.1,17.2,117,41
CUST-100191,8,24.3,21.2,136,27
CUST-100192,2,42.0,17.6,99,21
CUST-100193,16,81.1,59.2,111,22
CUST-100194,19,51.5,40.6,108,19
CUST-100195,17,87.1,84.7,114,27
CUST-100196,6,22.3,18.9,149,24
CUST-100197,29,52.2,91.9,1102,31
CUST-100198,4,43.1,4.5,36,31
CUST-100199,5,27.2,7.0,93,17
CUST-100200,8,34.0,4.8,139,5
CUST-100201,16,67.3,74.8,3291,31
CUST-100202,24,80.7,105.9,2223,24
CUST-100203,9,16.3,6.5,145,36
CUST-100204,12,44.3,14.9,149,41
CUST-100205,17,62.4,95.2,5807,28
CUST-100206,27,69.0,43.3,2598,15
CUST-100207,22,57.6,72.8,100,4
CUST-100208,6,19.9,9.1,79,3
CUST-100209,15,63.2,81.5,3749,5
CUST-100210,8,10.8,19.1,31,9
CUST-100211,2,33.0,21.2,64,13
CUST-100212,7,11.5,17.1,40,27
CUST-100213,28,61.1,45.8,1694,11
CUST-100214,6,23.1,13.0,129,44
CUST-100215,2,35.1,14.3,111,14
CUST-100216,3,14.8,16.5,45,39
CUST-100217,20,87.4,48.4,2371,18
CUST-100218,13,44.9,20.3,52,16
CUST-100219,20,94.5,63.0,50,4
CUST-100220,20,59.7,37.3,2051,28
CUST-100221,14,26.8,10.5,95,21
CUST-100222,9,20.7,17.7,66,5
CUST-100223,18,87.0,36.8,2907,11
CUST-100224,1,43.7,11.1,139,34
CUST-100225,26,77.5,97.7,25,36
CUST-100226,20,75.8,106.7,78,37
CUST-100227,4,21.2,18.7,48,43
CUST-100228,28,60.9,104.8,82,12
CUST-100229,12,43.3,20.4,18,21
CUST-100230,14,34.6,16.0,120,35
CUST-100231,9,10.5,9.1,3,33
CUST-100232,19,88.6,81.1,62,7
CUST-100233,9,28.5,15.9,60,26
CUST-100234,15,79.9,77.8,52,45
CUST-100235,28,78.8,28.3,125,32
CUST-100236,19,92.2,79.4,103,27
CUST-100237,10,43.4,10.0,71,8
CUST-100238,6,36.0,8.3,96,9
CUST-100239,27,70.6,107.1,79,16
CUST-100240,13,37.8,16.0,121,45
CUST-100241,8,17.0,6.9,54,32
CUST-100242,14,25.5,13.4,36,42
CUST-100243,13,14.6,11.5,49,0
CUST-100244,27,65.2,62.2,103,6
CUST-100245,2,27.0,8.3,144,12
CUST-100246,10,24.4,11.0,74,35
CUST-100247,22,87.2,61.1,96,41
CUST-100248,7,24.9,18.1,121,29
CUST-100249,19,94.7,71.3,80,29
CUST-100250,13,25.8,14.1,133,4
CUST-100251,17,89.5,28.9,58,20
CUST-100252,11,12.2,10.1,12,9
CUST-100253,4,11.7,18.2,15,36
CUST-100254,13,25.0,6.9,136,23
CUST-100255,1,25.1,12.1,107,20
CUST-100256,7,21.2,19.6,115,28
CUST-100257,1,29.9,10.1,52,32
CUST-100258,28,63.4,79.9,54,27
CUST-100259,1,17.2,21.6,8,28
CUST-100260,7,24.7,13.7,98,41
CUST-100261,24,84.1,87.9,1582,41
CUST-100262,17,85.6,62.3,3239,28
CUST-100263,5,35.2,21.9,68,0
CUST-100264,2,41.9,14.2,50,15
CUST-100265,13,37.9,13.6,24,25
CUST-100266,2,37.7,19.8,124,44
CUST-100267,12,41.0,21.6,25,8
CUST-100268,21,51.4,84.2,112,4
CUST-100269,22,65.7,58.4,4,43
CUST-100270,2,33.8,17.4,103,21
CUST-100271,7,14.7,11.4,97,6
CUST-100272,9,42.2,15.9,18,38
CUST-100273,25,62.4,87.4,6992,2
CUST-100274,11,14.7,18.2,10,22
CUST-100275,21,78.5,86.3,53,5
CUST-100276,19,76.3,61.0,32,6
CUST-100277,3,15.8,15.1,20,5
CUST-100278,22,86.8,74.5,5811,42
CUST-100279,29,57.8,57.2,149,21
CUST-100280,27,81.9,101.9,1936,8
CUST-100281,10,17.3,12.2,106,17
CUST-100282,1,30.5,4.9,139,12
CUST-100283,19,52.5,34.8,417,5
CUST-100284,1,42.8,12.4,125,9
CUST-100285,24,94.5,61.6,3511,14
CUST-100286,15,85.9,62.0,113,20
CUST-100287,29,64.9,99.6,132,7
CUST-100288,25,89.1,68.1,70,38
CUST-100289,7,37.9,13.9,23,1
CUST-100290,22,60.4,71.9,3810,21
CUST-100291,5,12.4,8.1,58,41
CUST-100292,6,39.3,18.4,88,39
CUST-100293,27,55.3,55.6,4281,11
CUST-100294,16,59.8,32.1,133,1
CUST-100295,16,52.6,75.1,64,45
CUST-100296,4,27.9,14.9,29,39
CUST-100297,29,86.7,82.7,59,25
CUST-100298,11,44.1,10.2,126,34
CUST-100299,3,24.4,9.2,15,2
CUST-100300,23,77.4,62.7,16,11
CUST-100301,25,68.2,42.2,759,42
CUST-100302,7,28.4,19.4,48,9
CUST-100303,18,51.5,69.3,112,6
CUST-100304,17,87.7,82.1,1231,7
CUST-100305,19,78.1,102.1,28,0
CUST-100306,22,51.4,93.2,76,29
CUST-100307,8,19.6,20.5,141,11
CUST-100308,3,26.9,18.1,77,23
CUST-100309,6,28.0,17.1,120,17
CUST-100310,19,64.1,44.1,28,23
CUST-100311,7,27.5,7.9,74,24
CUST-100312,17,63.0,91.0,2093,31
CUST-100313,2,21.2,16.6,41,31
CUST-100314,11,35.7,7.7,63,10
CUST-100315,9,44.4,15.6,99,5
CUST-100316,8,30.6,21.3,104,42
CUST-100317,8,17.5,6.9,35,5
CUST-100318,8,41.1,21.2,38,35
CUST-100319,7,35.7,18.8,32,24
CUST-100320,16,62.2,77.6,2017,31
CUST-100321,6,30.9,8.2,40,7
CUST-100322,17,81.8,58.2,80,24
CUST-100323,23,81.6,108.0,7452,14
CUST-100324,13,39.6,9.5,87,42
CUST-100325,5,18.4,4.7,66,30
CUST-100326,6,23.4,21.8,100,2
CUST-100327,28,72.3,77.3,4251,26
CUST-100328,2,33.0,18.3,86,37
CUST-100329,1,43.6,15.5,75,13
CUST-100330,15,93.8,65.9,2174,18
CUST-100331,12,28.1,21.1,84,24
CUST-100332,8,43.0,5.9,69,6
CUST-100333,28,78.9,109.1,6873,16
CUST-100334,18,88.9,73.6,30,36
CUST-100335,19,82.2,30.2,1691,18
CUST-100336,2,34.9,19.2,109,43
CUST-100337,26,69.0,99.5,2189,29
CUST-100338,12,11.5,15.0,29,44
CUST-100339,25,67.2,64.5,130,30
CUST-100340,19,62.0,103.8,1453,34
CUST-100341,12,35.6,17.7,21,11
CUST-100342,10,38.6,8.1,11,27
CUST-100343,13,11.5,19.6,23,22
CUST-100344,2,40.2,10.0,69,4
CUST-100345,14,28.3,12.5,82,9
CUST-100346,16,93.6,88.0,143,6
CUST-100347,5,19.2,13.6,114,21
CUST-100348,13,36.7,4.7,134,44
CUST-100349,18,89.6,93.0,1953,27
CUST-100350,7,16.2,16.3,2,0
CUST-100351,14,30.0,6.7,92,21
CUST-100352,10,33.9,12.9,95,39
CUST-100353,12,29.3,19.2,34,44
CUST-100354,2,22.7,8.5,107,35
CUST-100355,5,13.1,13.1,126,10
CUST-100356,20,65.8,54.0,146,5
CUST-100357,15,52.4,80.5,3944,37
CUST-100358,8,23.1,11.7,129,25
CUST-100359,11,42.0,8.2,102,22
CUST-100360,18,81.8,95.7,103,36
CUST-100361,9,14.9,19.4,63,2
CUST-100362,11,15.4,19.5,49,27
CUST-100363,12,26.9,9.2,148,40
CUST-100364,10,41.0,11.6,145,34
CUST-100365,27,69.3,53.3,586,42
CUST-100366,21,84.1,50.6,125,2
CUST-100367,3,14.8,11.4,67,8
CUST-100368,6,39.4,5.0,26,21
CUST-100369,3,22.7,14.2,132,24
CUST-100370,22,72.9,41.1,73,20
CUST-100371,17,84.4,87.8,1141,37
CUST-100372,22,51.9,65.0,1365,34
CUST-100373,29,90.5,64.6,2648,41
CUST-100374,17,57.4,95.2,56,9
CUST-100375,5,37.2,15.4,149,20
CUST-100376,28,64.4,86.9,1564,24
CUST-100377,6,14.3,10.5,90,22
CUST-100378,26,90.6,79.1,3322,17
CUST-100379,20,59.5,76.7,1227,34
CUST-100380,16,90.5,33.9,91,5
CUST-100381,11,11.1,18.3,113,18
CUST-100382,5,28.3,4.7,53,39
CUST-100383,17,89.4,45.5,1638,24
CUST-100384,6,19.4,16.2,134,23
CUST-100385,20,70.8,32.4,550,30
CUST-100386,24,55.8,40.8,2733,8
CUST-100387,16,56.1,28.2,733,9
CUST-100388,6,30.7,8.0,129,42
CUST-100389,1,44.9,8.2,48,28
CUST-100390,23,87.4,42.2,147,16
CUST-100391,14,11.2,7.4,118,2
CUST-100392,7,14.9,10.6,112,40
CUST-100393,19,55.5,70.6,1,34
CUST-100394,9,42.0,17.5,121,22
CUST-100395,28,81.9,76.1,89,20
CUST-100396,1,36.6,7.5,121,3
CUST-100397,29,85.6,96.2,53,40
CUST-100398,12,40.3,6.3,60,15
CUST-100399,11,14.0,21.9,118,4
CUST-100400,10,32.5,10.2,114,16
CUST-100401,21,83.3,70.8,1345,3
CUST-100402,23,81.1,33.4,1703,20
CUST-100403,21,82.3,66.0,30,33
CUST-100404,21,88.1,45.2,148,3
CUST-100405,14,33.8,15.6,93,9
CUST-100406,10,40.4,15.5,52,3
CUST-100407,11,27.4,19.1,125,39
CUST-100408,18,85.2,35.0,1155,43
CUST-100409,4,41.3,5.4,43,6
CUST-100410,23,86.3,93.7,5809,4
CUST-100411,2,15.9,16.4,52,42
CUST-100412,9,13.8,11.0,65,7
CUST-100413,11,14.9,9.1,67,4
CUST-100414,21,93.1,52.3,941,44
CUST-100415,16,66.9,108.9,4464,29
CUST-100416,12,27.9,12.5,112,28
CUST-100417,6,17.1,9.4,31,12
CUST-100418,9,39.9,16.2,34,16
CUST-100419,14,10.1,17.5,26,44
CUST-100420,17,67.3,29.2,1722,30
CUST-100421,24,71.1,68.5,2329,6
CUST-100422,10,44.2,16.5,21,31
CUST-100423,5,28.3,16.4,25,20
CUST-100424,12,44.1,15.4,64,1
CUST-100425,16,70.3,42.6,113,15
CUST-100426,3,20.0,12.6,102,30
CUST-100427,13,23.6,12.0,9,29
CUST-100428,16,75.7,102.4,6656,45
CUST-100429,10,26.6,5.7,10,39
CUST-100430,25,86.4,38.3,612,35
CUST-100431,12,36.3,8.4,41,36
CUST-100432,26,53.5,30.9,126,3
CUST-100433,21,68.0,29.4,323,36
CUST-100434,8,12.3,6.6,113,21
CUST-100435,16,55.0,96.2,88,15
CUST-100436,8,37.9,9.0,92,38
CUST-100437,28,57.9,39.2,38,34
CUST-100438,1,23.9,12.8,66,12
CUST-100439,22,81.3,31.6,15,23
CUST-100440,24,83.1,99.5,145,21
CUST-100441,18,87.9,50.9,145,42
CUST-100442,26,77.7,44.9,1751,20
CUST-100443,17,77.6,95.7,17,18
CUST-100444,2,22.2,11.4,100,18
CUST-100445,22,52.7,96.0,27,38
CUST-100446,19,69.9,43.2,130,1
CUST-100447,2,18.5,4.2,5,21
CUST-100448,22,59.7,26.7,17,14
CUST-100449,28,58.2,52.0,29,14
CUST-100450,16,75.0,61.8,78,5
CUST-100451,8,15.6,8.5,18,40
CUST-100452,26,89.3,25.8,1186,36
CUST-100453,28,86.3,43.0,59,17
CUST-100454,18,76.5,27.2,82,15
CUST-100455,12,30.1,14.2,60,30
CUST-100456,18,90.6,105.1,1891,12
CUST-100457,8,27.7,4.5,93,19
CUST-100458,12,40.6,19.9,145,31
CUST-100459,17,57.3,85.4,4526,2
CUST-100460,15,58.1,105.4,103,22
CUST-100461,1,20.6,19.0,128,20
CUST-100462,22,56.2,53.6,4288,43
CUST-100463,10,17.9,10.9,144,31
CUST-100464,18,78.4,66.9,2140,29
CUST-100465,18,57.8,46.4,2830,32
CUST-100466,6,12.1,12.4,131,7
CUST-100467,5,35.4,16.0,31,44
CUST-100468,22,68.3,106.8,4912,2
CUST-100469,6,40.9,7.5,133,41
CUST-100470,7,10.6,16.8,93,25
CUST-100471,18,94.2,99.9,87,18
CUST-100472,17,85.5,76.6,114,22
CUST-100473,23,60.3,27.7,1939,40
CUST-100474,24,71.8,36.2,31,9
CUST-100475,11,10.3,8.1,111,1
CUST-100476,7,39.6,6.1,126,30
CUST-100477,18,74.7,41.3,120,10
CUST-100478,1,38.5,8.8,137,27
CUST-100479,1,30.1,13.7,6,16
CUST-100480,18,59.9,57.9,1158,4
CUST-100481,8,26.5,4.9,110,45
CUST-100482,9,30.9,6.7,2,23
CUST-100483,8,40.5,19.9,121,39
CUST-100484,18,60.6,66.1,3437,28
CUST-100485,27,80.9,84.8,136,45
CUST-100486,17,92.8,80.3,99,13
CUST-100487,5,16.5,8.6,104,14
CUST-100488,15,61.3,102.1,1123,4
CUST-100489,3,29.3,21.8,117,7
CUST-100490,1,24.3,10.3,75,9
CUST-100491,21,66.1,66.4,116,22
CUST-100492,5,18.0,9.3,104,43
CUST-100493,21,55.4,107.0,90,39
CUST-100494,8,39.7,15.6,42,22
CUST-100495,11,42.6,5.6,66,43
CUST-100496,8,26.4,15.0,40,43
CUST-100497,16,61.9,32.6,49,44
CUST-100498,28,64.1,50.5,656,24
CUST-100499,14,24.6,9.7,149,42
CUST-100500,19,50.4,69.1,1934,5
CUST-100501,8,24.8,11.4,51,29
CUST-100502,22,87.0,95.3,120,28
CUST-100503,4,18.3,11.4,23,10
CUST-100504,22,86.7,73.3,50,21
CUST-100505,1,43.4,13.5,140,29
CUST-100506,3,37.6,13.3,9,5
CUST-100507,6,16.8,17.5,9,32
CUST-100508,25,86.0,32.3,66,16
CUST-100509,12,22.6,14.4,88,12
CUST-100510,12,19.4,14.9,142,25
CUST-100511,10,42.3,12.3,116,44
CUST-100512,14,31.5,10.9,89,9
CUST-100513,18,94.4,79.4,96,17
CUST-100514,23,51.1,29.4,96,19
CUST-100515,13,41.0,10.6,88,8
CUST-100516,22,61.0,103.2,7017,2
CUST-100517,29,77.8,99.4,24,39
CUST-100518,7,34.6,18.2,102,44
CUST-100519,15,53.7,72.8,36,29
CUST-100520,2,27.1,16.0,62,20
CUST-100521,13,14.9,18.1,57,37
CUST-100522,17,79.8,61.0,1220,11
CUST-100523,15,50.4,95.1,50,4
CUST-100524,12,40.2,11.0,51,35
CUST-100525,6,44.9,9.0,87,35
CUST-100526,13,37.1,10.9,4,37
CUST-100527,19,91.8,51.5,1957,12
CUST-100528,1,38.8,4.2,99,19
CUST-100529,18,89.3,82.4,51,18
CUST-100530,11,38.0,10.9,46,13
CUST-100531,23,74.6,85.9,5068,35
CUST-100532,18,87.1,50.5,130,39
CUST-100533,24,72.7,100.1,62,45
CUST-100534,15,64.8,59.5,91,10
CUST-100535,7,22.3,7.2,4,17
CUST-100536,28,83.0,34.3,11,39
CUST-100537,7,15.0,5.8,85,16
CUST-100538,3,18.2,12.9,80,39
CUST-100539,6,13.1,13.6,143,42
CUST-100540,22,75.1,106.4,126,8
CUST-100541,12,22.5,13.3,2,43
CUST-100542,4,13.4,7.5,132,39
CUST-100543,10,34.3,4.8,129,21
CUST-100544,2,18.7,15.7,22,27
CUST-100545,24,72.9,47.8,135,18
CUST-100546,2,26.1,17.1,65,41
CUST-100547,4,23.5,6.2,55,4
CUST-100548,23,54.9,57.0,100,6
CUST-100549,17,69.4,64.6,90,4
CUST-100550,26,89.9,29.8,73,18
CUST-100551,23,89.5,109.4,139,4
CUST-100552,21,86.3,49.1,39,20
CUST-100553,6,31.8,17.6,53,35
CUST-100554,10,18.8,17.4,132,2
CUST-100555,10,25.5,19.2,48,27
CUST-100556,3,13.6,16.3,82,42
CUST-100557,9,37.0,13.0,135,37
CUST-100558,12,17.8,17.5,147,36
CUST-100559,24,61.6,78.5,4710,5
CUST-100560,29,88.6,63.6,72,6
CUST-100561,21,61.3,27.5,103,37
CUST-100562,20,85.3,40.3,19,29
CUST-100563,12,31.3,10.2,25,33
CUST-100564,27,61.9,66.8,5143,31
CUST-100565,15,78.1,93.9,88,26
CUST-100566,7,40.0,4.9,105,15
CUST-100567,13,29.1,20.3,135,4
CUST-100568,15,62.5,38.9,1828,43
CUST-100569,11,36.8,7.4,14,21
CUST-100570,25,66.6,34.1,142,29
CUST-100571,8,32.6,15.3,35,33
CUST-100572,14,44.7,4.6,117,22
CUST-100573,9,18.1,13.3,59,44
CUST-100574,24,68.3,85.7,3513,15
CUST-100575,9,33.5,19.8,148,30
CUST-100576,9,38.5,21.6,66,27
CUST-100577,12,10.7,20.0,44,40
CUST-100578,7,33.7,7.4,106,43
CUST-100579,6,34.5,21.2,23,20
CUST-100580,2,33.4,17.4,76,14
CUST-100581,27,60.1,90.6,6885,3
CUST-100582,5,39.8,11.5,83,27
CUST-100583,15,87.4,69.2,4498,8
CUST-100584,11,19.9,18.2,113,25
CUST-100585,11,10.2,4.2,48,22
CUST-100586,17,62.3,104.5,1358,43
CUST-100587,5,36.7,6.2,132,33
CUST-100588,28,63.1,96.5,3184,24
CUST-100589,1,35.5,9.7,105,26
CUST-100590,9,12.5,14.4,110,32
CUST-100591,21,89.6,109.3,111,23
CUST-100592,8,39.0,6.0,60,32
CUST-100593,22,52.6,97.3,123,5
CUST-100594,27,62.5,69.1,2902,42
CUST-100595,3,30.5,20.4,130,0
CUST-100596,3,36.2,4.8,53,28
CUST-100597,18,89.3,98.7,60,39
CUST-100598,20,90.0,26.2,75,27
CUST-100599,2,43.5,13.7,96,2
CUST-100600,6,22.9,15.6,133,10
CUST-100601,29,87.3,76.3,2212,16
CUST-100602,22,87.6,78.6,18,38
CUST-100603,8,11.1,13.9,101,4
CUST-100604,9,43.9,11.7,118,8
CUST-100605,20,84.2,92.3,22,18
CUST-100606,4,43.8,15.0,136,26
CUST-100607,2,39.9,5.5,26,34
CUST-100608,13,11.8,11.2,122,42
CUST-100609,4,43.7,4.3,62,38
CUST-100610,14,18.5,14.5,147,6
CUST-100611,11,36.6,19.9,120,42
CUST-100612,23,70.2,31.8,1780,0
CUST-100613,9,30.3,20.3,67,9
CUST-100614,11,19.3,18.4,77,12
CUST-100615,11,42.0,8.4,35,31
CUST-100616,1,41.2,18.8,30,1
CUST-100617,1,38.3,19.0,89,43
CUST-100618,1,37.3,16.2,83,1
CUST-100619,4,43.5,20.7,28,25
CUST-100620,25,84.8,72.3,60,26
CUST-100621,15,61.0,81.3,0,10
CUST-100622,29,55.8,100.6,3319,38
CUST-100623,12,27.1,5.5,67,0
CUST-100624,14,29.5,20.5,113,4
CUST-100625,17,90.2,37.3,1380,8
CUST-100626,18,84.4,100.1,0,12
CUST-100627,25,50.1,53.7,2953,9
CUST-100628,6,22.5,14.7,1,27
CUST-100629,11,37.6,8.8,107,8
CUST-100630,12,30.5,21.3,98,31
CUST-100631,24,54.3,37.4,92,25
CUST-100632,13,20.8,5.3,41,39
CUST-100633,12,42.2,5.9,136,32
CUST-100634,1,16.4,13.8,92,45
CUST-100635,24,88.5,47.2,519,15
CUST-100636,23,85.2,71.8,789,8
CUST-100637,1,41.7,13.9,73,27
CUST-100638,21,55.5,81.6,4406,5
CUST-100639,12,29.2,12.2,96,6
CUST-100640,1,24.7,13.0,7,9
CUST-100641,12,44.1,12.1,13,9
CUST-100642,6,33.6,13.2,79,24
CUST-100643,3,19.7,16.9,40,39
CUST-100644,9,24.4,12.0,105,45
CUST-100645,23,67.9,63.2,4171,7
CUST-100646,8,34.3,9.1,116,16
CUST-100647,13,25.5,7.8,56,25
CUST-100648,3,11.6,21.6,71,5
CUST-100649,20,77.0,87.3,1746,17
CUST-100650,17,65.4,97.7,4787,13
CUST-100651,12,23.4,16.1,35,45
CUST-100652,9,18.6,19.0,122,25
CUST-100653,10,13.7,19.9,117,37
CUST-100654,11,13.7,5.1,30,30
CUST-100655,9,20.1,4.3,125,7
