customer_id,total_tickets_logged,avg_resolution_time_hrs,escalated_tickets_count,latest_csat_score,primary_issue_category
CUST-100091,2,14.1,0,4,Feature Request
CUST-100092,2,16.8,0,5,Technical Bug
CUST-100093,0,0.0,0,,None
CUST-100094,0,0.0,0,,None
CUST-100095,2,36.0,0,3,Feature Request
CUST-100096,0,0.0,0,,None
CUST-100097,0,0.0,0,,None
CUST-100098,0,0.0,0,,None
CUST-100099,0,0.0,0,,None
CUST-100100,2,63.1,1,2,Feature Request
CUST-100101,1,14.8,1,3,Feature Request
CUST-100102,2,44.1,0,2,Feature Request
CUST-100103,3,2.9,0,,Feature Request
CUST-100104,4,27.1,0,3,Billing Inquiry
CUST-100105,1,9.6,0,5,Technical Bug
CUST-100106,0,0.0,0,,None
CUST-100107,3,55.8,0,1,Onboarding Help
CUST-100108,4,36.1,1,1,Billing Inquiry
CUST-100109,2,20.6,0,5,Onboarding Help
CUST-100110,0,0.0,0,,None
CUST-100111,1,21.5,0,5,Feature Request
CUST-100112,6,20.6,1,1,Technical Bug
CUST-100113,0,0.0,0,,None
CUST-100114,2,37.6,1,2,Feature Request
CUST-100115,1,31.0,0,3,Onboarding Help
CUST-100116,0,0.0,0,,None
CUST-100117,2,65.9,0,3,Feature Request
CUST-100118,1,20.6,0,5,Feature Request
CUST-100119,1,25.7,0,2,Technical Bug
CUST-100120,1,6.1,0,5,Billing Inquiry
CUST-100121,1,13.5,0,5,Billing Inquiry
CUST-100122,4,21.8,0,1,Technical Bug
CUST-100123,2,57.2,1,1,Technical Bug
CUST-100124,5,67.0,0,3,Onboarding Help
CUST-100125,3,23.4,0,5,Feature Request
CUST-100126,2,20.5,0,,Billing Inquiry
CUST-100127,2,59.8,0,2,Technical Bug
CUST-100128,0,0.0,0,,None
CUST-100129,3,16.4,0,4,Technical Bug
CUST-100130,1,23.6,0,4,Technical Bug
CUST-100131,1,23.7,0,4,Billing Inquiry
CUST-100132,5,10.5,0,5,Billing Inquiry
CUST-100133,0,0.0,0,,None
CUST-100134,1,45.1,1,3,Billing Inquiry
CUST-100135,2,43.5,0,3,Feature Request
CUST-100136,1,4.6,0,4,Technical Bug
CUST-100137,3,31.1,0,1,Feature Request
CUST-100138,2,60.7,1,1,Billing Inquiry
CUST-100139,2,56.4,0,1,Onboarding Help
CUST-100140,1,10.7,0,,Technical Bug
CUST-100141,4,65.3,0,2,Billing Inquiry
CUST-100142,2,15.2,0,4,Onboarding Help
CUST-100143,2,62.0,0,1,Technical Bug
CUST-100144,1,44.7,1,3,Billing Inquiry
CUST-100145,0,0.0,0,,None
CUST-100146,0,0.0,0,,None
CUST-100147,2,45.4,1,2,Feature Request
CUST-100148,3,71.2,1,2,Technical Bug
CUST-100149,0,0.0,0,,None
CUST-100150,3,9.8,0,4,Onboarding Help
CUST-100151,0,0.0,0,,None
CUST-100152,0,0.0,0,,None
CUST-100153,0,0.0,0,,None
CUST-100154,1,3.8,0,4,Onboarding Help
CUST-100155,5,16.5,1,1,Onboarding Help
CUST-100156,3,19.6,1,3,Billing Inquiry
CUST-100157,6,68.1,1,1,Onboarding Help
CUST-100158,2,66.5,1,2,Onboarding Help
CUST-100159,0,0.0,0,,None
CUST-100160,2,22.0,0,2,Technical Bug
CUST-100161,2,41.6,0,1,Billing Inquiry
CUST-100162,2,46.0,0,2,Onboarding Help
CUST-100163,3,23.0,1,1,Billing Inquiry
CUST-100164,2,67.1,1,2,Feature Request
CUST-100165,0,0.0,0,,None
CUST-100166,1,20.7,0,4,Technical Bug
CUST-100167,2,20.6,0,2,Onboarding Help
CUST-100168,2,43.2,1,3,Billing Inquiry
CUST-100169,0,0.0,0,,None
CUST-100170,2,7.0,0,5,Feature Request
CUST-100171,0,0.0,0,,None
CUST-100172,0,0.0,0,,None
CUST-100173,3,68.6,0,3,Technical Bug
CUST-100174,1,31.2,1,1,Feature Request
CUST-100175,0,0.0,0,,None
CUST-100176,5,39.6,0,1,Technical Bug
CUST-100177,0,0.0,0,,None
CUST-100178,1,6.9,0,5,Technical Bug
CUST-100179,0,0.0,0,,None
CUST-100180,2,41.3,0,2,Billing Inquiry
CUST-100181,1,15.3,1,1,Onboarding Help
CUST-100182,2,60.6,1,2,Feature Request
CUST-100183,0,0.0,0,,None
CUST-100184,1,32.8,1,3,Technical Bug
CUST-100185,3,36.6,0,3,Billing Inquiry
CUST-100186,0,0.0,0,,None
CUST-100187,1,20.4,0,4,Technical Bug
CUST-100188,4,69.6,1,2,Technical Bug
CUST-100189,0,0.0,0,,None
CUST-100190,2,12.2,1,2,Technical Bug
CUST-100191,2,41.7,0,2,Technical Bug
CUST-100192,0,0.0,0,,None
CUST-100193,0,0.0,0,,None
CUST-100194,2,3.4,0,4,Feature Request
CUST-100195,0,0.0,0,,None
CUST-100196,2,52.7,0,1,Technical Bug
CUST-100197,1,11.5,0,5,Billing Inquiry
CUST-100198,1,36.4,0,3,Technical Bug
CUST-100199,1,69.0,0,2,Onboarding Help
CUST-100200,0,0.0,0,,None
CUST-100201,2,6.1,0,,Billing Inquiry
CUST-100202,3,23.5,0,4,Billing Inquiry
CUST-100203,3,40.9,1,1,Technical Bug
CUST-100204,0,0.0,0,,None
CUST-100205,2,21.1,0,,Billing Inquiry
CUST-100206,1,13.2,0,4,Onboarding Help
CUST-100207,0,0.0,0,,None
CUST-100208,2,13.2,1,2,Billing Inquiry
CUST-100209,0,0.0,0,,None
CUST-100210,3,47.8,1,3,Technical Bug
CUST-100211,2,59.0,1,1,Technical Bug
CUST-100212,2,20.3,1,1,Feature Request
CUST-100213,0,0.0,0,,None
CUST-100214,3,52.9,0,1,Billing Inquiry
CUST-100215,1,55.9,0,1,Feature Request
CUST-100216,1,49.2,0,2,Technical Bug
CUST-100217,0,0.0,0,,None
CUST-100218,1,20.8,0,1,Technical Bug
CUST-100219,2,13.9,0,4,Billing Inquiry
CUST-100220,1,22.6,0,,Billing Inquiry
CUST-100221,2,25.8,0,1,Billing Inquiry
CUST-100222,0,0.0,0,,None
CUST-100223,2,2.7,0,4,Technical Bug
CUST-100224,5,12.0,0,3,Onboarding Help
CUST-100225,0,0.0,0,,None
CUST-100226,0,0.0,0,,None
CUST-100227,2,19.7,0,3,Technical Bug
CUST-100228,0,0.0,0,,None
CUST-100229,1,17.9,0,2,Billing Inquiry
CUST-100230,1,32.0,0,1,Technical Bug
CUST-100231,0,0.0,0,,None
CUST-100232,1,17.3,0,5,Billing Inquiry
CUST-100233,2,12.5,0,3,Billing Inquiry
CUST-100234,1,20.5,0,,Technical Bug
CUST-100235,2,11.1,0,4,Feature Request
CUST-100236,1,16.8,0,4,Technical Bug
CUST-100237,0,0.0,0,,None
CUST-100238,1,63.8,0,1,Technical Bug
CUST-100239,0,0.0,0,,None
CUST-100240,2,71.5,1,1,Onboarding Help
CUST-100241,3,43.8,1,3,Billing Inquiry
CUST-100242,1,67.9,1,2,Technical Bug
CUST-100243,0,0.0,0,,None
CUST-100244,0,0.0,0,,None
CUST-100245,1,30.7,0,3,Billing Inquiry
CUST-100246,1,69.1,0,2,Feature Request
CUST-100247,2,5.2,0,4,Feature Request
CUST-100248,3,50.3,1,3,Feature Request
CUST-100249,0,0.0,0,,None
CUST-100250,1,23.5,0,3,Technical Bug
CUST-100251,0,0.0,0,,None
CUST-100252,2,41.7,0,1,Billing Inquiry
CUST-100253,4,17.3,1,1,Feature Request
CUST-100254,0,0.0,0,,None
CUST-100255,3,48.7,0,1,Billing Inquiry
CUST-100256,3,59.1,1,2,Onboarding Help
CUST-100257,1,50.2,1,2,Billing Inquiry
CUST-100258,0,0.0,0,,None
CUST-100259,0,0.0,0,,None
CUST-100260,1,48.5,1,1,Onboarding Help
CUST-100261,1,23.6,0,5,Onboarding Help
CUST-100262,2,5.8,0,5,Feature Request
CUST-100263,1,50.0,0,2,Billing Inquiry
CUST-100264,0,0.0,0,,None
CUST-100265,1,22.7,0,2,Feature Request
CUST-100266,2,70.6,0,2,Feature Request
CUST-100267,0,0.0,0,,None
CUST-100268,1,5.3,0,,Feature Request
CUST-100269,0,0.0,0,,None
CUST-100270,4,38.7,0,3,Onboarding Help
CUST-100271,1,62.8,1,1,Feature Request
CUST-100272,2,32.6,1,2,Feature Request
CUST-100273,0,0.0,0,,None
CUST-100274,1,17.6,1,1,Feature Request
CUST-100275,0,0.0,0,,None
CUST-100276,1,13.2,0,,Technical Bug
CUST-100277,0,0.0,0,,None
CUST-100278,1,20.1,0,5,Technical Bug
CUST-100279,0,0.0,0,,None
CUST-100280,0,0.0,0,,None
CUST-100281,2,12.2,1,1,Technical Bug
CUST-100282,3,58.7,0,3,Technical Bug
CUST-100283,0,0.0,0,,None
CUST-100284,2,46.5,0,3,Billing Inquiry
CUST-100285,1,3.2,0,5,Feature Request
CUST-100286,1,3.5,0,5,Technical Bug
CUST-100287,2,11.4,0,4,Feature Request
CUST-100288,1,7.3,0,4,Technical Bug
CUST-100289,2,36.7,1,3,Technical Bug
CUST-100290,1,9.9,0,4,Onboarding Help
CUST-100291,1,39.8,0,3,Onboarding Help
CUST-100292,0,0.0,0,,None
CUST-100293,1,15.3,0,,Feature Request
CUST-100294,0,0.0,0,,None
CUST-100295,0,0.0,0,,None
CUST-100296,2,51.4,1,2,Onboarding Help
CUST-100297,0,0.0,0,,None
CUST-100298,3,53.7,0,3,Technical Bug
CUST-100299,2,58.5,1,2,Technical Bug
CUST-100300,1,9.0,0,4,Feature Request
CUST-100301,1,7.5,0,4,Feature Request
CUST-100302,3,27.4,0,1,Feature Request
CUST-100303,2,5.6,0,,Feature Request
CUST-100304,1,16.6,0,,Onboarding Help
CUST-100305,2,8.5,0,5,Onboarding Help
CUST-100306,2,11.1,0,,Onboarding Help
CUST-100307,1,12.1,0,1,Billing Inquiry
CUST-100308,1,56.4,0,2,Onboarding Help
CUST-100309,1,64.2,1,3,Feature Request
CUST-100310,0,0.0,0,,None
CUST-100311,1,20.7,0,3,Onboarding Help
CUST-100312,3,12.5,0,,Billing Inquiry
CUST-100313,0,0.0,0,,None
CUST-100314,1,72.0,1,1,Technical Bug
CUST-100315,4,64.0,0,1,Onboarding Help
CUST-100316,3,36.1,0,2,Feature Request
CUST-100317,1,60.6,0,3,Feature Request
CUST-100318,2,25.1,0,2,Feature Request
CUST-100319,1,31.4,0,3,Onboarding Help
CUST-100320,2,4.2,0,5,Billing Inquiry
CUST-100321,3,65.2,0,1,Feature Request
CUST-100322,2,5.0,0,5,Feature Request
CUST-100323,0,0.0,0,,None
CUST-100324,3,24.7,1,1,Technical Bug
CUST-100325,1,56.5,0,1,Feature Request
CUST-100326,0,0.0,0,,None
CUST-100327,0,0.0,0,,None
CUST-100328,0,0.0,0,,None
CUST-100329,2,22.3,1,2,Technical Bug
CUST-100330,0,0.0,0,,None
CUST-100331,5,15.3,1,1,Feature Request
CUST-100332,2,19.9,0,3,Feature Request
CUST-100333,0,0.0,0,,None
CUST-100334,0,0.0,0,,None
CUST-100335,0,0.0,0,,None
CUST-100336,0,0.0,0,,None
CUST-100337,1,5.0,0,5,Billing Inquiry
CUST-100338,4,29.9,0,3,Billing Inquiry
CUST-100339,0,0.0,0,,None
CUST-100340,1,14.4,0,4,Billing Inquiry
CUST-100341,2,50.1,1,1,Billing Inquiry
CUST-100342,2,29.3,1,2,Feature Request
CUST-100343,3,30.2,1,1,Billing Inquiry
CUST-100344,2,71.0,0,3,Billing Inquiry
CUST-100345,1,68.5,1,3,Onboarding Help
CUST-100346,3,23.8,0,5,Billing Inquiry
CUST-100347,3,31.1,1,3,Technical Bug
CUST-100348,0,0.0,0,,None
CUST-100349,1,22.5,0,,Billing Inquiry
CUST-100350,2,56.9,1,1,Technical Bug
CUST-100351,6,53.6,0,3,Onboarding Help
CUST-100352,1,72.0,0,3,Billing Inquiry
CUST-100353,3,34.6,0,1,Feature Request
CUST-100354,2,12.0,0,2,Onboarding Help
CUST-100355,3,51.3,0,3,Technical Bug
CUST-100356,1,6.5,0,5,Onboarding Help
CUST-100357,3,21.4,0,5,Feature Request
CUST-100358,2,45.8,0,3,Technical Bug
CUST-100359,1,15.8,1,2,Billing Inquiry
CUST-100360,0,0.0,0,,None
CUST-100361,2,57.7,0,1,Billing Inquiry
CUST-100362,0,0.0,0,,None
CUST-100363,0,0.0,0,,None
CUST-100364,2,63.9,0,2,Onboarding Help
CUST-100365,0,0.0,0,,None
CUST-100366,0,0.0,0,,None
CUST-100367,2,69.2,1,1,Technical Bug
CUST-100368,0,0.0,0,,None
CUST-100369,3,49.8,0,2,Technical Bug
CUST-100370,0,0.0,0,,None
CUST-100371,1,19.8,0,5,Technical Bug
CUST-100372,0,0.0,0,,None
CUST-100373,1,2.9,0,4,Billing Inquiry
CUST-100374,0,0.0,0,,None
CUST-100375,1,69.4,0,1,Technical Bug
CUST-100376,1,6.0,0,4,Feature Request
CUST-100377,2,14.4,1,3,Feature Request
CUST-100378,2,7.9,0,4,Feature Request
CUST-100379,1,18.6,0,4,Technical Bug
CUST-100380,1,21.6,0,4,Onboarding Help
CUST-100381,3,17.7,1,1,Onboarding Help
CUST-100382,4,67.9,1,2,Technical Bug
CUST-100383,0,0.0,0,,None
CUST-100384,1,67.9,0,1,Billing Inquiry
CUST-100385,0,0.0,0,,None
CUST-100386,1,15.5,0,4,Feature Request
CUST-100387,1,12.5,0,,Onboarding Help
CUST-100388,0,0.0,0,,None
CUST-100389,2,38.4,0,3,Onboarding Help
CUST-100390,0,0.0,0,,None
CUST-100391,2,22.5,0,2,Technical Bug
CUST-100392,1,16.4,0,2,Feature Request
CUST-100393,0,0.0,0,,None
CUST-100394,1,13.2,0,2,Feature Request
CUST-100395,0,0.0,0,,None
CUST-100396,3,56.0,0,1,Technical Bug
CUST-100397,0,0.0,0,,None
CUST-100398,4,69.6,1,2,Onboarding Help
CUST-100399,2,63.3,0,2,Billing Inquiry
CUST-100400,2,65.2,1,3,Onboarding Help
CUST-100401,0,0.0,0,,None
CUST-100402,1,7.7,0,4,Technical Bug
CUST-100403,0,0.0,0,,None
CUST-100404,2,7.2,0,4,Billing Inquiry
CUST-100405,3,55.5,0,1,Billing Inquiry
CUST-100406,5,52.9,0,1,Onboarding Help
CUST-100407,1,55.6,1,3,Billing Inquiry
CUST-100408,0,0.0,0,,None
CUST-100409,0,0.0,0,,None
CUST-100410,0,0.0,0,,None
CUST-100411,1,19.9,1,2,Billing Inquiry
CUST-100412,4,37.9,1,1,Onboarding Help
CUST-100413,0,0.0,0,,None
CUST-100414,1,2.5,0,,Technical Bug
CUST-100415,0,0.0,0,,None
CUST-100416,3,25.4,0,1,Billing Inquiry
CUST-100417,0,0.0,0,,None
CUST-100418,0,0.0,0,,None
CUST-100419,1,57.6,1,3,Technical Bug
CUST-100420,1,11.4,0,4,Feature Request
CUST-100421,0,0.0,0,,None
CUST-100422,1,33.8,1,1,Onboarding Help
CUST-100423,1,54.8,0,3,Onboarding Help
CUST-100424,1,15.1,1,1,Billing Inquiry
CUST-100425,0,0.0,0,,None
CUST-100426,1,45.4,0,3,Technical Bug
CUST-100427,1,68.7,0,3,Technical Bug
CUST-100428,1,15.8,0,5,Onboarding Help
CUST-100429,2,21.1,0,3,Feature Request
CUST-100430,3,11.1,0,,Onboarding Help
CUST-100431,1,44.4,0,2,Feature Request
CUST-100432,0,0.0,0,,None
CUST-100433,3,4.8,0,5,Onboarding Help
CUST-100434,3,32.8,0,2,Onboarding Help
CUST-100435,1,9.9,0,5,Billing Inquiry
CUST-100436,3,51.7,0,2,Technical Bug
CUST-100437,1,21.8,0,5,Billing Inquiry
CUST-100438,5,26.6,1,3,Feature Request
CUST-100439,1,19.8,0,,Onboarding Help
CUST-100440,2,12.1,0,5,Billing Inquiry
CUST-100441,0,0.0,0,,None
CUST-100442,1,16.9,0,4,Billing Inquiry
CUST-100443,1,17.2,0,,Billing Inquiry
CUST-100444,1,62.7,0,2,Onboarding Help
CUST-100445,1,23.3,0,,Technical Bug
CUST-100446,1,19.0,0,,Feature Request
CUST-100447,2,28.2,1,1,Onboarding Help
CUST-100448,0,0.0,0,,None
CUST-100449,1,24.0,0,4,Onboarding Help
CUST-100450,0,0.0,0,,None
CUST-100451,5,59.7,0,3,Billing Inquiry
CUST-100452,0,0.0,0,,None
CUST-100453,1,3.1,0,,Feature Request
CUST-100454,1,10.5,0,5,Technical Bug
CUST-100455,2,54.9,1,1,Technical Bug
CUST-100456,1,24.0,0,4,Technical Bug
CUST-100457,1,70.9,1,2,Technical Bug
CUST-100458,3,17.5,0,2,Feature Request
CUST-100459,1,16.9,0,5,Onboarding Help
CUST-100460,0,0.0,0,,None
CUST-100461,1,65.1,0,1,Billing Inquiry
CUST-100462,1,17.9,0,4,Onboarding Help
CUST-100463,2,17.9,1,1,Onboarding Help
CUST-100464,4,5.0,0,,Onboarding Help
CUST-100465,0,0.0,0,,None
CUST-100466,1,32.9,1,1,Feature Request
CUST-100467,2,22.5,1,3,Onboarding Help
CUST-100468,0,0.0,0,,None
CUST-100469,1,59.9,1,2,Feature Request
CUST-100470,1,58.9,0,3,Technical Bug
CUST-100471,1,5.1,0,5,Onboarding Help
CUST-100472,0,0.0,0,,None
CUST-100473,2,6.2,0,,Feature Request
CUST-100474,1,18.6,0,5,Technical Bug
CUST-100475,2,42.1,0,3,Billing Inquiry
CUST-100476,2,13.5,0,3,Onboarding Help
CUST-100477,1,22.3,0,5,Technical Bug
CUST-100478,2,70.0,1,1,Billing Inquiry
CUST-100479,2,19.9,1,2,Billing Inquiry
CUST-100480,0,0.0,0,,None
CUST-100481,3,25.4,0,2,Feature Request
CUST-100482,1,13.8,1,1,Onboarding Help
CUST-100483,1,65.8,1,2,Technical Bug
CUST-100484,0,0.0,0,,None
CUST-100485,1,10.9,0,,Feature Request
CUST-100486,1,10.1,0,,Feature Request
CUST-100487,4,27.2,1,3,Feature Request
CUST-100488,2,21.0,0,,Technical Bug
CUST-100489,2,44.2,1,2,Billing Inquiry
CUST-100490,1,30.2,1,1,Billing Inquiry
CUST-100491,0,0.0,0,,None
CUST-100492,2,56.4,0,1,Technical Bug
CUST-100493,0,0.0,0,,None
CUST-100494,1,49.2,0,1,Billing Inquiry
CUST-100495,4,63.6,0,3,Billing Inquiry
CUST-100496,4,49.5,0,2,Onboarding Help
CUST-100497,0,0.0,0,,None
CUST-100498,0,0.0,0,,None
CUST-100499,5,19.3,1,3,Onboarding Help
CUST-100500,0,0.0,0,,None
CUST-100501,2,43.9,0,2,Technical Bug
CUST-100502,0,0.0,0,,None
CUST-100503,0,0.0,0,,None
CUST-100504,1,18.6,0,4,Technical Bug
CUST-100505,2,56.8,0,3,Billing Inquiry
CUST-100506,2,18.0,0,1,Billing Inquiry
CUST-100507,1,59.2,0,1,Onboarding Help
CUST-100508,1,14.0,0,4,Onboarding Help
CUST-100509,1,15.8,0,3,Technical Bug
CUST-100510,0,0.0,0,,None
CUST-100511,3,40.1,0,2,Technical Bug
CUST-100512,1,68.6,1,3,Billing Inquiry
CUST-100513,0,0.0,0,,None
CUST-100514,2,19.6,0,5,Billing Inquiry
CUST-100515,1,71.1,0,3,Onboarding Help
CUST-100516,1,10.7,0,4,Onboarding Help
CUST-100517,1,5.7,0,4,Billing Inquiry
CUST-100518,3,56.1,1,3,Feature Request
CUST-100519,1,3.5,0,5,Technical Bug
CUST-100520,5,26.6,0,1,Feature Request
CUST-100521,1,21.1,0,3,Billing Inquiry
CUST-100522,0,0.0,0,,None
CUST-100523,1,19.0,0,4,Feature Request
CUST-100524,0,0.0,0,,None
CUST-100525,3,53.3,0,2,Onboarding Help
CUST-100526,1,20.0,0,1,Billing Inquiry
CUST-100527,2,9.2,0,5,Technical Bug
CUST-100528,1,42.3,0,3,Feature Request
CUST-100529,1,22.4,0,,Onboarding Help
CUST-100530,1,52.4,0,2,Feature Request
CUST-100531,1,21.3,0,5,Onboarding Help
CUST-100532,1,21.9,0,4,Technical Bug
CUST-100533,1,13.0,0,,Feature Request
CUST-100534,0,0.0,0,,None
CUST-100535,4,26.6,0,1,Onboarding Help
CUST-100536,1,14.4,0,,Onboarding Help
CUST-100537,2,12.6,0,3,Billing Inquiry
CUST-100538,1,71.6,1,2,Onboarding Help
CUST-100539,2,66.7,1,2,Feature Request
CUST-100540,0,0.0,0,,None
CUST-100541,0,0.0,0,,None
CUST-100542,3,20.9,1,1,Billing Inquiry
CUST-100543,1,31.0,1,2,Billing Inquiry
CUST-100544,3,61.3,0,3,Technical Bug
CUST-100545,1,7.2,0,5,Feature Request
CUST-100546,4,16.0,0,1,Feature Request
CUST-100547,1,51.9,0,3,Technical Bug
CUST-100548,1,20.2,0,4,Billing Inquiry
CUST-100549,0,0.0,0,,None
CUST-100550,1,24.0,0,4,Feature Request
CUST-100551,1,7.8,0,5,Billing Inquiry
CUST-100552,1,16.8,0,,Feature Request
CUST-100553,2,46.9,0,1,Billing Inquiry
CUST-100554,4,57.0,0,1,Onboarding Help
CUST-100555,0,0.0,0,,None
CUST-100556,4,68.1,0,1,Onboarding Help
CUST-100557,0,0.0,0,,None
CUST-100558,4,16.0,0,2,Onboarding Help
CUST-100559,0,0.0,0,,None
CUST-100560,0,0.0,0,,None
CUST-100561,1,10.0,0,,Onboarding Help
CUST-100562,1,19.9,0,5,Feature Request
CUST-100563,0,0.0,0,,None
CUST-100564,0,0.0,0,,None
CUST-100565,0,0.0,0,,None
CUST-100566,3,38.6,0,1,Billing Inquiry
CUST-100567,2,41.6,0,3,Onboarding Help
CUST-100568,1,12.2,0,5,Technical Bug
CUST-100569,2,20.3,1,1,Billing Inquiry
CUST-100570,1,10.2,0,5,Feature Request
CUST-100571,1,29.8,1,3,Billing Inquiry
CUST-100572,2,19.2,1,1,Technical Bug
CUST-100573,3,36.6,0,3,Billing Inquiry
CUST-100574,1,8.2,0,5,Feature Request
CUST-100575,1,22.9,1,2,Onboarding Help
CUST-100576,3,38.3,0,1,Technical Bug
CUST-100577,1,16.3,1,3,Technical Bug
CUST-100578,2,50.4,0,2,Feature Request
CUST-100579,0,0.0,0,,None
CUST-100580,2,21.4,0,1,Feature Request
CUST-100581,1,12.4,0,4,Billing Inquiry
CUST-100582,1,32.8,0,3,Billing Inquiry
CUST-100583,2,17.5,0,5,Technical Bug
CUST-100584,2,16.5,1,1,Onboarding Help
CUST-100585,3,52.1,0,2,Onboarding Help
CUST-100586,2,12.4,0,5,Feature Request
CUST-100587,0,0.0,0,,None
CUST-100588,1,8.3,0,5,Billing Inquiry
CUST-100589,2,58.6,0,1,Onboarding Help
CUST-100590,1,16.0,1,3,Feature Request
CUST-100591,1,14.0,0,,Onboarding Help
CUST-100592,2,18.9,1,2,Billing Inquiry
CUST-100593,0,0.0,0,,None
CUST-100594,0,0.0,0,,None
CUST-100595,1,20.7,0,3,Billing Inquiry
CUST-100596,2,55.6,1,2,Onboarding Help
CUST-100597,1,15.7,0,,Onboarding Help
CUST-100598,1,20.2,0,4,Onboarding Help
CUST-100599,4,21.6,0,2,Feature Request
CUST-100600,4,44.2,0,1,Onboarding Help
CUST-100601,1,21.5,0,4,Onboarding Help
CUST-100602,0,0.0,0,,None
CUST-100603,2,60.4,1,1,Technical Bug
CUST-100604,4,32.6,1,3,Feature Request
CUST-100605,2,14.8,0,5,Technical Bug
CUST-100606,1,52.6,0,3,Feature Request
CUST-100607,3,16.9,0,1,Billing Inquiry
CUST-100608,0,0.0,0,,None
CUST-100609,1,55.2,1,1,Technical Bug
CUST-100610,1,52.8,0,2,Onboarding Help
CUST-100611,1,44.6,1,2,Billing Inquiry
CUST-100612,2,16.5,0,5,Billing Inquiry
