subscription_id,customer_id,plan_name,billing_cycle,monthly_recurring_revenue,start_date,end_date,subscription_status,churn_reason
SUB-200037,CUST-100037,Enterprise,Annual,424.15,2025-08-13,,Active,
SUB-200038,CUST-100038,Starter,Monthly,49.0,2024-04-09,2024-04-28,Churned,Missing Core Features
SUB-200039,CUST-100039,Professional,Annual,126.65,2024-02-25,,Active,
SUB-200040,CUST-100040,Starter,Monthly,49.0,2024-12-13,,Active,
SUB-200041,CUST-100041,Professional,Monthly,149.0,2024-05-23,,Active,
SUB-200042,CUST-100042,Professional,Annual,126.65,2025-03-29,,Active,
SUB-200043,CUST-100043,Enterprise,Annual,424.15,2025-07-07,,Active,
SUB-200044,CUST-100044,Enterprise,Monthly,499.0,2024-06-19,2024-07-25,Churned,Switched to Competitor
SUB-200045,CUST-100045,Starter,Monthly,49.0,2024-06-17,,Active,
SUB-200046,CUST-100046,Enterprise,Annual,424.15,2025-04-10,,Active,
SUB-200047,CUST-100047,Professional,Annual,126.65,2025-11-08,,Active,
SUB-200048,CUST-100048,Starter,Monthly,49.0,2025-08-16,2025-10-30,Churned,Difficult Onboarding / Low Adoption
SUB-200049,CUST-100049,Professional,Monthly,149.0,2025-05-03,2025-07-13,Churned,High Price / Budget Cuts
SUB-200050,CUST-100050,Starter,Monthly,49.0,2024-03-23,2024-07-01,Churned,Difficult Onboarding / Low Adoption
SUB-200051,CUST-100051,Professional,Monthly,149.0,2025-02-17,,Active,
SUB-200052,CUST-100052,Starter,Monthly,49.0,2025-09-26,2025-12-31,Churned,Poor Customer Support Experience
SUB-200053,CUST-100053,Professional,Monthly,149.0,2024-09-24,2025-02-13,Churned,High Price / Budget Cuts
SUB-200054,CUST-100054,Enterprise,Annual,424.15,2025-11-18,,Active,
SUB-200055,CUST-100055,Custom Enterprise,Annual,1019.15,2024-01-10,,Active,
SUB-200056,CUST-100056,Professional,Monthly,149.0,2024-08-06,2024-08-30,Churned,Difficult Onboarding / Low Adoption
SUB-200057,CUST-100057,Enterprise,Annual,424.15,2024-09-07,,Active,
SUB-200058,CUST-100058,Professional,Monthly,149.0,2025-09-18,,Active,
SUB-200059,CUST-100059,Custom Enterprise,Annual,1019.15,2025-07-21,,Active,
SUB-200060,CUST-100060,Starter,Monthly,49.0,2024-04-28,,Active,
SUB-200061,CUST-100061,Starter,Annual,41.65,2024-08-03,,Active,
SUB-200062,CUST-100062,Starter,Monthly,49.0,2025-05-15,2025-12-05,Churned,High Price / Budget Cuts
SUB-200063,CUST-100063,Professional,Monthly,149.0,2024-10-10,,Active,
SUB-200064,CUST-100064,Starter,Annual,41.65,2024-06-14,,Active,
SUB-200065,CUST-100065,Starter,Monthly,49.0,2024-03-18,2024-06-19,Churned,High Price / Budget Cuts
SUB-200066,CUST-100066,Starter,Monthly,49.0,2025-01-13,2025-03-05,Churned,Switched to Competitor
SUB-200067,CUST-100067,Starter,Monthly,49.0,2024-02-10,2024-03-27,Churned,Business Closed / Downsized
SUB-200068,CUST-100068,Professional,Annual,126.65,2025-07-27,,Active,
SUB-200069,CUST-100069,Professional,Annual,126.65,2024-08-30,,Active,
SUB-200070,CUST-100070,Professional,Annual,126.65,2024-01-26,,Active,
SUB-200071,CUST-100071,Professional,Monthly,149.0,2025-11-16,2025-12-31,Churned,Missing Core Features
SUB-200072,CUST-100072,Starter,Monthly,49.0,2024-04-20,2024-08-15,Churned,Switched to Competitor
SUB-200073,CUST-100073,Professional,Monthly,149.0,2025-04-16,2025-09-07,Churned,Business Closed / Downsized
SUB-200074,CUST-100074,Professional,Monthly,149.0,2025-11-06,,Active,
SUB-200075,CUST-100075,Professional,Monthly,149.0,2024-10-12,2025-01-29,Churned,Poor Customer Support Experience
SUB-200076,CUST-100076,Custom Enterprise,Annual,1019.15,2024-12-05,,Active,
SUB-200077,CUST-100077,Starter,Annual,41.65,2024-09-28,,Active,
SUB-200078,CUST-100078,Starter,Monthly,49.0,2025-03-22,,Active,
SUB-200079,CUST-100079,Starter,Monthly,49.0,2024-09-17,2025-01-23,Churned,Business Closed / Downsized
SUB-200080,CUST-100080,Enterprise,Annual,424.15,2025-11-17,,Active,
SUB-200081,CUST-100081,Enterprise,Annual,424.15,2025-09-30,,Active,
SUB-200082,CUST-100082,Enterprise,Annual,424.15,2024-11-12,,Active,
SUB-200083,CUST-100083,Professional,Monthly,149.0,2024-07-15,,Active,
SUB-200084,CUST-100084,Professional,Monthly,149.0,2025-09-22,,Active,
SUB-200085,CUST-100085,Enterprise,Monthly,499.0,2024-08-03,,Active,
SUB-200086,CUST-100086,Professional,Monthly,149.0,2025-03-28,,Active,
SUB-200087,CUST-100087,Professional,Monthly,149.0,2024-06-22,,Active,
SUB-200088,CUST-100088,Professional,Monthly,149.0,2024-04-05,2024-05-13,Churned,Poor Customer Support Experience
SUB-200089,CUST-100089,Enterprise,Annual,424.15,2024-07-22,,Active,
SUB-200090,CUST-100090,Starter,Monthly,49.0,2024-03-15,2024-05-12,Churned,Missing Core Features
SUB-200091,CUST-100091,Professional,Annual,126.65,2025-01-28,,Active,
SUB-200092,CUST-100092,Enterprise,Annual,424.15,2024-04-19,,Active,
SUB-200093,CUST-100093,Professional,Monthly,149.0,2025-04-20,2025-05-24,Churned,High Price / Budget Cuts
SUB-200094,CUST-100094,Starter,Annual,41.65,2025-04-20,,Active,
SUB-200095,CUST-100095,Starter,Monthly,49.0,2025-03-29,2025-07-04,Churned,High Price / Budget Cuts
SUB-200096,CUST-100096,Enterprise,Annual,424.15,2025-07-15,,Active,
SUB-200097,CUST-100097,Professional,Annual,126.65,2024-09-10,,Active,
SUB-200098,CUST-100098,Starter,Annual,41.65,2024-09-01,,Active,
SUB-200099,CUST-100099,Professional,Monthly,149.0,2024-11-23,2025-02-16,Churned,Missing Core Features
SUB-200100,CUST-100100,Professional,Monthly,149.0,2024-06-05,2024-07-23,Churned,Business Closed / Downsized
SUB-200101,CUST-100101,Starter,Monthly,49.0,2025-03-01,2025-08-27,Churned,Business Closed / Downsized
SUB-200102,CUST-100102,Starter,Monthly,49.0,2024-01-21,2024-06-22,Churned,Missing Core Features
SUB-200103,CUST-100103,Enterprise,Monthly,499.0,2024-12-26,2025-12-31,Churned,Poor Customer Support Experience
SUB-200104,CUST-100104,Starter,Monthly,49.0,2025-07-05,2025-12-31,Churned,Switched to Competitor
SUB-200105,CUST-100105,Starter,Annual,41.65,2024-08-12,2025-02-13,Churned,Difficult Onboarding / Low Adoption
SUB-200106,CUST-100106,Custom Enterprise,Annual,1019.15,2025-02-18,,Active,
SUB-200107,CUST-100107,Starter,Monthly,49.0,2025-06-30,2025-08-20,Churned,High Price / Budget Cuts
SUB-200108,CUST-100108,Starter,Monthly,49.0,2025-10-20,2025-11-25,Churned,Poor Customer Support Experience
SUB-200109,CUST-100109,Professional,Annual,126.65,2024-12-01,,Active,
SUB-200110,CUST-100110,Starter,Monthly,49.0,2025-03-07,2025-07-11,Churned,Business Closed / Downsized
SUB-200111,CUST-100111,Enterprise,Annual,424.15,2024-12-24,,Active,
SUB-200112,CUST-100112,Starter,Monthly,49.0,2024-02-01,2024-05-24,Churned,High Price / Budget Cuts
SUB-200113,CUST-100113,Custom Enterprise,Annual,1019.15,2024-05-09,,Active,
SUB-200114,CUST-100114,Starter,Monthly,49.0,2024-09-19,,Active,
SUB-200115,CUST-100115,Starter,Monthly,49.0,2024-04-27,2024-11-01,Churned,Missing Core Features
SUB-200116,CUST-100116,Professional,Monthly,149.0,2024-11-15,2025-04-17,Churned,Business Closed / Downsized
SUB-200117,CUST-100117,Professional,Monthly,149.0,2024-07-22,,Active,
SUB-200118,CUST-100118,Starter,Annual,41.65,2024-11-04,,Active,
SUB-200119,CUST-100119,Professional,Monthly,149.0,2024-02-12,2024-03-06,Churned,Poor Customer Support Experience
SUB-200120,CUST-100120,Starter,Annual,41.65,2024-12-15,,Active,
SUB-200121,CUST-100121,Professional,Monthly,149.0,2025-01-05,,Active,
SUB-200122,CUST-100122,Professional,Monthly,149.0,2025-06-18,,Active,
SUB-200123,CUST-100123,Starter,Monthly,49.0,2025-05-10,2025-11-10,Churned,Missing Core Features
SUB-200124,CUST-100124,Professional,Monthly,149.0,2024-09-08,2024-12-07,Churned,Missing Core Features
SUB-200125,CUST-100125,Starter,Annual,41.65,2025-04-20,,Active,
SUB-200126,CUST-100126,Enterprise,Monthly,499.0,2024-11-28,,Active,
SUB-200127,CUST-100127,Starter,Monthly,49.0,2025-09-02,2025-12-31,Churned,Difficult Onboarding / Low Adoption
SUB-200128,CUST-100128,Starter,Monthly,49.0,2024-03-28,2024-04-21,Churned,Switched to Competitor
SUB-200129,CUST-100129,Professional,Monthly,149.0,2025-05-02,,Active,
SUB-200130,CUST-100130,Enterprise,Annual,424.15,2024-08-14,,Active,
SUB-200131,CUST-100131,Enterprise,Monthly,499.0,2025-07-20,2025-09-02,Churned,Business Closed / Downsized
SUB-200132,CUST-100132,Professional,Annual,126.65,2025-04-09,,Active,
SUB-200133,CUST-100133,Enterprise,Annual,424.15,2024-05-02,,Active,
SUB-200134,CUST-100134,Professional,Monthly,149.0,2025-05-10,2025-08-13,Churned,Poor Customer Support Experience
SUB-200135,CUST-100135,Starter,Monthly,49.0,2024-04-12,,Active,
SUB-200136,CUST-100136,Starter,Annual,41.65,2025-06-30,2025-12-19,Churned,Difficult Onboarding / Low Adoption
SUB-200137,CUST-100137,Starter,Monthly,49.0,2024-05-09,,Active,
SUB-200138,CUST-100138,Starter,Monthly,49.0,2024-10-18,2024-12-11,Churned,Difficult Onboarding / Low Adoption
SUB-200139,CUST-100139,Starter,Monthly,49.0,2025-05-04,2025-12-02,Churned,Poor Customer Support Experience
SUB-200140,CUST-100140,Custom Enterprise,Monthly,1199.0,2024-02-24,,Active,
SUB-200141,CUST-100141,Starter,Monthly,49.0,2024-09-11,2025-07-07,Churned,High Price / Budget Cuts
SUB-200142,CUST-100142,Custom Enterprise,Annual,1019.15,2024-08-19,,Active,
SUB-200143,CUST-100143,Starter,Monthly,49.0,2025-08-25,2025-10-06,Churned,Switched to Competitor
SUB-200144,CUST-100144,Starter,Monthly,49.0,2024-04-11,2024-07-07,Churned,Poor Customer Support Experience
SUB-200145,CUST-100145,Professional,Annual,126.65,2024-06-09,2024-11-28,Churned,Missing Core Features
SUB-200146,CUST-100146,Starter,Annual,41.65,2025-08-31,,Active,
SUB-200147,CUST-100147,Professional,Monthly,149.0,2025-04-09,,Active,
SUB-200148,CUST-100148,Starter,Monthly,49.0,2025-08-26,2025-10-10,Churned,Business Closed / Downsized
SUB-200149,CUST-100149,Starter,Monthly,49.0,2025-10-25,,Active,
SUB-200150,CUST-100150,Custom Enterprise,Annual,1019.15,2024-11-10,,Active,
SUB-200151,CUST-100151,Custom Enterprise,Annual,1019.15,2025-04-24,,Active,
SUB-200152,CUST-100152,Professional,Annual,126.65,2025-05-20,,Active,
SUB-200153,CUST-100153,Custom Enterprise,Annual,1019.15,2025-09-10,,Active,
SUB-200154,CUST-100154,Professional,Monthly,149.0,2025-08-12,2025-11-11,Churned,Business Closed / Downsized
SUB-200155,CUST-100155,Starter,Monthly,49.0,2025-08-13,2025-10-28,Churned,Business Closed / Downsized
SUB-200156,CUST-100156,Starter,Monthly,49.0,2024-10-11,2025-05-16,Churned,Missing Core Features
SUB-200157,CUST-100157,Starter,Monthly,49.0,2024-04-03,2024-05-04,Churned,Business Closed / Downsized
SUB-200158,CUST-100158,Starter,Monthly,49.0,2024-06-13,2024-07-01,Churned,Difficult Onboarding / Low Adoption
SUB-200159,CUST-100159,Starter,Monthly,49.0,2025-07-17,,Active,
SUB-200160,CUST-100160,Starter,Monthly,49.0,2025-02-17,2025-05-24,Churned,Switched to Competitor
SUB-200161,CUST-100161,Starter,Monthly,49.0,2025-04-18,2025-05-06,Churned,Poor Customer Support Experience
SUB-200162,CUST-100162,Starter,Monthly,49.0,2025-10-02,2025-11-16,Churned,Difficult Onboarding / Low Adoption
SUB-200163,CUST-100163,Starter,Monthly,49.0,2024-10-21,2025-03-03,Churned,Poor Customer Support Experience
SUB-200164,CUST-100164,Professional,Monthly,149.0,2025-09-15,,Active,
SUB-200165,CUST-100165,Enterprise,Monthly,499.0,2025-02-21,,Active,
SUB-200166,CUST-100166,Enterprise,Annual,424.15,2024-04-30,,Active,
SUB-200167,CUST-100167,Professional,Monthly,149.0,2024-10-06,2025-10-06,Churned,Difficult Onboarding / Low Adoption
SUB-200168,CUST-100168,Professional,Monthly,149.0,2024-05-28,2024-07-23,Churned,Business Closed / Downsized
SUB-200169,CUST-100169,Starter,Annual,41.65,2024-03-12,,Active,
SUB-200170,CUST-100170,Professional,Annual,126.65,2025-06-03,,Active,
SUB-200171,CUST-100171,Professional,Annual,126.65,2025-08-16,,Active,
SUB-200172,CUST-100172,Starter,Monthly,49.0,2024-12-19,,Active,
SUB-200173,CUST-100173,Starter,Monthly,49.0,2024-07-12,,Active,
SUB-200174,CUST-100174,Professional,Monthly,149.0,2025-02-24,2025-03-11,Churned,Switched to Competitor
SUB-200175,CUST-100175,Professional,Annual,126.65,2025-01-30,,Active,
SUB-200176,CUST-100176,Starter,Monthly,49.0,2024-02-07,2024-02-23,Churned,High Price / Budget Cuts
SUB-200177,CUST-100177,Professional,Annual,126.65,2025-03-26,,Active,
SUB-200178,CUST-100178,Enterprise,Annual,424.15,2025-11-01,,Active,
SUB-200179,CUST-100179,Professional,Annual,126.65,2025-09-30,,Active,
SUB-200180,CUST-100180,Professional,Monthly,149.0,2025-06-30,2025-08-11,Churned,Switched to Competitor
SUB-200181,CUST-100181,Starter,Monthly,49.0,2025-07-08,2025-12-31,Churned,High Price / Budget Cuts
SUB-200182,CUST-100182,Professional,Monthly,149.0,2024-08-20,2025-02-06,Churned,Switched to Competitor
SUB-200183,CUST-100183,Enterprise,Monthly,499.0,2024-04-12,,Active,
SUB-200184,CUST-100184,Starter,Monthly,49.0,2024-02-27,2024-09-09,Churned,Difficult Onboarding / Low Adoption
SUB-200185,CUST-100185,Starter,Monthly,49.0,2025-08-02,2025-12-31,Churned,Missing Core Features
SUB-200186,CUST-100186,Enterprise,Annual,424.15,2025-01-26,,Active,
SUB-200187,CUST-100187,Professional,Annual,126.65,2025-04-17,,Active,
SUB-200188,CUST-100188,Starter,Monthly,49.0,2025-04-21,2025-07-18,Churned,Switched to Competitor
SUB-200189,CUST-100189,Enterprise,Annual,424.15,2024-12-19,,Active,
SUB-200190,CUST-100190,Starter,Monthly,49.0,2025-04-12,2025-08-01,Churned,Difficult Onboarding / Low Adoption
SUB-200191,CUST-100191,Starter,Monthly,49.0,2024-08-30,2024-10-11,Churned,High Price / Budget Cuts
SUB-200192,CUST-100192,Starter,Monthly,49.0,2024-01-23,,Active,
SUB-200193,CUST-100193,Professional,Annual,126.65,2024-02-20,,Active,
SUB-200194,CUST-100194,Professional,Monthly,149.0,2024-08-23,2025-07-16,Churned,Missing Core Features
SUB-200195,CUST-100195,Professional,Annual,126.65,2025-11-25,,Active,
SUB-200196,CUST-100196,Starter,Monthly,49.0,2024-04-09,2024-08-08,Churned,Missing Core Features
SUB-200197,CUST-100197,Custom Enterprise,Annual,1019.15,2025-08-16,,Active,
SUB-200198,CUST-100198,Professional,Monthly,149.0,2025-03-01,2025-06-27,Churned,Difficult Onboarding / Low Adoption
SUB-200199,CUST-100199,Starter,Monthly,49.0,2025-06-27,,Active,
SUB-200200,CUST-100200,Professional,Monthly,149.0,2025-05-08,,Active,
SUB-200201,CUST-100201,Enterprise,Monthly,499.0,2025-04-24,2025-06-30,Churned,Missing Core Features
SUB-200202,CUST-100202,Enterprise,Monthly,499.0,2025-11-21,2025-12-10,Churned,Missing Core Features
SUB-200203,CUST-100203,Starter,Monthly,49.0,2025-02-08,,Active,
SUB-200204,CUST-100204,Starter,Monthly,49.0,2025-11-19,2025-12-31,Churned,High Price / Budget Cuts
SUB-200205,CUST-100205,Enterprise,Monthly,499.0,2025-11-22,2025-12-31,Churned,Poor Customer Support Experience
SUB-200206,CUST-100206,Enterprise,Monthly,499.0,2025-09-16,,Active,
SUB-200207,CUST-100207,Professional,Annual,126.65,2024-11-05,,Active,
SUB-200208,CUST-100208,Starter,Monthly,49.0,2025-05-19,,Active,
SUB-200209,CUST-100209,Enterprise,Annual,424.15,2025-01-14,,Active,
SUB-200210,CUST-100210,Professional,Monthly,149.0,2024-06-07,2024-09-27,Churned,Difficult Onboarding / Low Adoption
SUB-200211,CUST-100211,Starter,Monthly,49.0,2024-10-13,2025-01-20,Churned,Business Closed / Downsized
SUB-200212,CUST-100212,Professional,Monthly,149.0,2025-01-06,2025-04-03,Churned,Missing Core Features
SUB-200213,CUST-100213,Custom Enterprise,Monthly,1199.0,2025-01-02,2025-05-07,Churned,High Price / Budget Cuts
SUB-200214,CUST-100214,Starter,Monthly,49.0,2025-04-10,2025-05-22,Churned,Difficult Onboarding / Low Adoption
SUB-200215,CUST-100215,Starter,Monthly,49.0,2024-02-21,2024-09-07,Churned,Missing Core Features
SUB-200216,CUST-100216,Professional,Monthly,149.0,2024-03-11,2024-03-30,Churned,High Price / Budget Cuts
SUB-200217,CUST-100217,Enterprise,Annual,424.15,2024-08-26,,Active,
SUB-200218,CUST-100218,Professional,Monthly,149.0,2024-05-28,,Active,
SUB-200219,CUST-100219,Professional,Annual,126.65,2024-01-27,,Active,
SUB-200220,CUST-100220,Enterprise,Annual,424.15,2024-01-17,,Active,
SUB-200221,CUST-100221,Starter,Monthly,49.0,2024-03-06,2024-04-10,Churned,Business Closed / Downsized
SUB-200222,CUST-100222,Professional,Monthly,149.0,2025-05-30,,Active,
SUB-200223,CUST-100223,Enterprise,Annual,424.15,2025-11-05,,Active,
SUB-200224,CUST-100224,Starter,Monthly,49.0,2025-05-05,2025-07-17,Churned,Poor Customer Support Experience
SUB-200225,CUST-100225,Professional,Annual,126.65,2025-03-30,,Active,
SUB-200226,CUST-100226,Professional,Annual,126.65,2024-10-08,2025-02-05,Churned,Difficult Onboarding / Low Adoption
SUB-200227,CUST-100227,Starter,Monthly,49.0,2025-09-03,2025-12-03,Churned,Switched to Competitor
SUB-200228,CUST-100228,Professional,Annual,126.65,2024-04-27,,Active,
SUB-200229,CUST-100229,Starter,Monthly,49.0,2024-08-08,2024-12-27,Churned,High Price / Budget Cuts
SUB-200230,CUST-100230,Professional,Monthly,149.0,2025-02-12,2025-08-11,Churned,Difficult Onboarding / Low Adoption
SUB-200231,CUST-100231,Starter,Monthly,49.0,2025-01-18,2025-04-02,Churned,Business Closed / Downsized
SUB-200232,CUST-100232,Professional,Annual,126.65,2024-03-28,,Active,
SUB-200233,CUST-100233,Professional,Monthly,149.0,2025-07-23,2025-10-22,Churned,Missing Core Features
SUB-200234,CUST-100234,Professional,Annual,126.65,2025-02-24,,Active,
SUB-200235,CUST-100235,Starter,Annual,41.65,2024-02-22,,Active,
SUB-200236,CUST-100236,Professional,Annual,126.65,2024-08-05,,Active,
SUB-200237,CUST-100237,Starter,Monthly,49.0,2025-07-23,,Active,
SUB-200238,CUST-100238,Starter,Monthly,49.0,2025-07-28,2025-09-27,Churned,Switched to Competitor
SUB-200239,CUST-100239,Professional,Monthly,149.0,2024-01-27,,Active,
SUB-200240,CUST-100240,Starter,Monthly,49.0,2024-10-06,2024-12-23,Churned,Difficult Onboarding / Low Adoption
SUB-200241,CUST-100241,Starter,Monthly,49.0,2024-05-26,2024-12-18,Churned,High Price / Budget Cuts
SUB-200242,CUST-100242,Starter,Monthly,49.0,2024-02-01,2024-03-03,Churned,Poor Customer Support Experience
SUB-200243,CUST-100243,Professional,Monthly,149.0,2024-06-10,2024-10-14,Churned,Missing Core Features
SUB-200244,CUST-100244,Professional,Annual,126.65,2024-03-27,,Active,
SUB-200245,CUST-100245,Starter,Monthly,49.0,2024-03-24,,Active,
SUB-200246,CUST-100246,Starter,Monthly,49.0,2024-10-06,2025-03-14,Churned,Switched to Competitor
SUB-200247,CUST-100247,Professional,Annual,126.65,2025-11-25,,Active,
SUB-200248,CUST-100248,Professional,Monthly,149.0,2025-02-08,,Active,
SUB-200249,CUST-100249,Starter,Annual,41.65,2024-05-20,,Active,
SUB-200250,CUST-100250,Professional,Monthly,149.0,2025-03-16,2025-12-31,Churned,Missing Core Features
SUB-200251,CUST-100251,Professional,Annual,126.65,2025-11-15,,Active,
SUB-200252,CUST-100252,Starter,Monthly,49.0,2024-01-20,,Active,
SUB-200253,CUST-100253,Starter,Monthly,49.0,2025-02-18,2025-05-20,Churned,Poor Customer Support Experience
SUB-200254,CUST-100254,Starter,Monthly,49.0,2024-11-28,2025-02-04,Churned,High Price / Budget Cuts
SUB-200255,CUST-100255,Starter,Monthly,49.0,2025-01-05,2025-12-31,Churned,Business Closed / Downsized
SUB-200256,CUST-100256,Professional,Monthly,149.0,2025-06-20,2025-07-22,Churned,Difficult Onboarding / Low Adoption
SUB-200257,CUST-100257,Professional,Monthly,149.0,2024-06-21,2024-08-30,Churned,Business Closed / Downsized
SUB-200258,CUST-100258,Starter,Annual,41.65,2024-12-23,,Active,
SUB-200259,CUST-100259,Starter,Monthly,49.0,2024-04-15,2024-05-04,Churned,Switched to Competitor
SUB-200260,CUST-100260,Starter,Monthly,49.0,2025-11-02,2025-12-31,Churned,Poor Customer Support Experience
SUB-200261,CUST-100261,Enterprise,Annual,424.15,2025-07-31,,Active,
SUB-200262,CUST-100262,Enterprise,Annual,424.15,2025-10-12,,Active,
SUB-200263,CUST-100263,Professional,Monthly,149.0,2025-03-26,2025-05-09,Churned,Missing Core Features
SUB-200264,CUST-100264,Starter,Monthly,49.0,2024-02-27,,Active,
SUB-200265,CUST-100265,Professional,Monthly,149.0,2025-01-12,2025-07-31,Churned,Difficult Onboarding / Low Adoption
SUB-200266,CUST-100266,Starter,Monthly,49.0,2025-09-21,2025-11-14,Churned,High Price / Budget Cuts
SUB-200267,CUST-100267,Professional,Monthly,149.0,2024-02-12,2024-07-21,Churned,Difficult Onboarding / Low Adoption
SUB-200268,CUST-100268,Starter,Annual,41.65,2025-05-02,,Active,
SUB-200269,CUST-100269,Starter,Annual,41.65,2024-12-17,,Active,
SUB-200270,CUST-100270,Starter,Monthly,49.0,2025-03-24,2025-08-05,Churned,High Price / Budget Cuts
SUB-200271,CUST-100271,Professional,Monthly,149.0,2024-10-16,2025-02-17,Churned,Missing Core Features
SUB-200272,CUST-100272,Starter,Monthly,49.0,2025-10-08,,Active,
SUB-200273,CUST-100273,Custom Enterprise,Annual,1019.15,2024-10-17,,Active,
SUB-200274,CUST-100274,Professional,Monthly,149.0,2024-06-02,2024-06-29,Churned,Missing Core Features
SUB-200275,CUST-100275,Starter,Annual,41.65,2025-11-02,,Active,
SUB-200276,CUST-100276,Professional,Annual,126.65,2024-11-13,,Active,
SUB-200277,CUST-100277,Starter,Monthly,49.0,2025-06-23,2025-12-31,Churned,Missing Core Features
SUB-200278,CUST-100278,Enterprise,Annual,424.15,2024-11-12,,Active,
SUB-200279,CUST-100279,Starter,Annual,41.65,2024-08-19,,Active,
SUB-200280,CUST-100280,Enterprise,Monthly,499.0,2025-06-03,,Active,
SUB-200281,CUST-100281,Professional,Monthly,149.0,2024-12-10,2025-12-31,Churned,Switched to Competitor
SUB-200282,CUST-100282,Professional,Monthly,149.0,2024-07-04,,Active,
SUB-200283,CUST-100283,Enterprise,Monthly,499.0,2025-03-24,,Active,
SUB-200284,CUST-100284,Professional,Monthly,149.0,2025-09-17,2025-12-31,Churned,Switched to Competitor
SUB-200285,CUST-100285,Enterprise,Annual,424.15,2024-11-12,,Active,
SUB-200286,CUST-100286,Professional,Annual,126.65,2025-11-25,,Active,
SUB-200287,CUST-100287,Starter,Annual,41.65,2025-01-26,,Active,
SUB-200288,CUST-100288,Professional,Annual,126.65,2025-09-11,,Active,
SUB-200289,CUST-100289,Starter,Monthly,49.0,2025-07-21,2025-08-09,Churned,High Price / Budget Cuts
SUB-200290,CUST-100290,Enterprise,Annual,424.15,2024-03-26,,Active,
SUB-200291,CUST-100291,Professional,Monthly,149.0,2025-03-23,,Active,
SUB-200292,CUST-100292,Starter,Monthly,49.0,2024-01-28,,Active,
